instance_id,family,n_relus,exact_regions,grad_regions,log_grad_regions,A_tau,A_tau_regions,converged
ep1,mlp_relu.embedded_projection,1480,100001,100001,11.51293546492023,4.174387269895637,64.99999999999999,False
ep2,mlp_relu.embedded_projection,1480,100001,100001,11.51293546492023,3.871201010907891,48.00000000000001,False
ep3,mlp_relu.embedded_projection,1480,100001,100001,11.51293546492023,3.8501476017100584,46.99999999999999,False
ep4,mlp_relu.embedded_projection,1480,100001,100001,11.51293546492023,3.8501476017100584,46.99999999999999,False
ep5,mlp_relu.embedded_projection,1480,100001,100001,11.51293546492023,3.7376696182833684,42.00000000000001,False
milp1,mlp_relu.milp.exact_radius,30,94,122,4.804021044733257,3.2188758248682006,24.999999999999996,False
milp10,mlp_relu.milp.exact_radius,30,2942,2942,7.9868449011613825,4.653960350157523,104.99999999999997,False
milp11,mlp_relu.milp.exact_radius,30,3032,3032,8.016977746762262,4.663439094112067,105.99999999999997,False
milp12,mlp_relu.milp.exact_radius,30,3042,3042,8.020270472819238,4.59511985013459,98.99999999999999,False
milp13,mlp_relu.milp.exact_radius,30,3043,3043,8.02059914989697,4.634728988229636,103.00000000000001,False
milp14,mlp_relu.milp.exact_radius,30,3043,3043,8.02059914989697,4.634728988229636,103.00000000000001,False
milp15,mlp_relu.milp.exact_radius,30,4,4,1.3862943611198906,4.330733340286331,76.0,True
milp16,mlp_relu.milp.exact_radius,30,18,22,3.091042453358316,4.51085950651685,90.99999999999997,False
milp17,mlp_relu.milp.exact_radius,30,21,26,3.258096538021482,4.382026634673881,79.99999999999997,False
milp18,mlp_relu.milp.exact_radius,30,22,27,3.295836866004329,4.394449154672439,81.00000000000003,False
milp19,mlp_relu.milp.exact_radius,30,22,27,3.295836866004329,4.5217885770490405,92.00000000000001,False
milp2,mlp_relu.milp.exact_radius,30,1107,1505,7.316548177182976,4.23410650459726,69.00000000000001,False
milp20,mlp_relu.milp.exact_radius,30,22,27,3.295836866004329,4.418840607796598,83.00000000000003,False
milp21,mlp_relu.milp.exact_radius,30,22,27,3.295836866004329,4.454347296253507,85.99999999999997,False
milp22,mlp_relu.milp.exact_radius,10,18,18,2.8903717578961645,2.8903717578961645,17.999999999999996,False
milp23,mlp_relu.milp.exact_radius,20,297,296,5.69035945432406,3.258096538021482,26.000000000000004,False
milp24,mlp_relu.milp.exact_radius,40,14296,16516,9.71208488700598,5.472270673671475,238.00000000000009,False
milp25,mlp_relu.milp.exact_radius,100,31164,31163,10.346986772628886,5.631211781821365,278.99999999999994,False
milp26,mlp_relu.milp.exact_radius,200,198773,198765,12.199878501366847,6.391917113392602,597.0000000000001,False
milp27,mlp_relu.milp.exact_radius,10,128,192,5.2574953720277815,4.1588830833596715,63.99999999999998,False
milp28,mlp_relu.milp.exact_radius,20,2734,2723,7.909489492673759,5.170483995038151,175.99999999999991,False
milp29,mlp_relu.milp.exact_radius,40,360,358,5.8805329864007,3.4339872044851463,31.0,False
milp3,mlp_relu.milp.exact_radius,30,1620,2189,7.691200097522863,4.465908118654584,87.0,False
milp30,mlp_relu.milp.exact_radius,100,6342,6366,8.758726607842037,4.51085950651685,90.99999999999997,False
milp31,mlp_relu.milp.exact_radius,200,2942,2941,7.9865049385539955,3.5263605246161616,34.00000000000001,False
milp4,mlp_relu.milp.exact_radius,30,1687,2280,7.731930721948486,4.553876891600541,95.0,False
milp5,mlp_relu.milp.exact_radius,30,1693,2289,7.735870319952567,4.605170185988092,100.00000000000004,False
milp6,mlp_relu.milp.exact_radius,30,1693,2289,7.735870319952567,4.3694478524670215,79.0,False
milp7,mlp_relu.milp.exact_radius,30,1693,2289,7.735870319952567,4.5217885770490405,92.00000000000001,False
milp8,mlp_relu.milp.exact_radius,30,284,284,5.648974238161206,3.091042453358316,22.000000000000004,False
milp9,mlp_relu.milp.exact_radius,30,2072,2072,7.6362696033793735,4.48863636973214,88.99999999999999,False
