instance_id,benchmark,domain,constructor,network_group,feat_source,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,profile_missing_ct,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes,arch_MLP,arch_CNN,arch_ATTENTION,arch_POLYNOMIAL,arch_HYBRID,arch_OTHER,has_conv,has_softmax,has_add_residual,has_pow,arch_type,size_missing_ct,verifier,raw_status,raw_time,raw_outcome,budget_s
meap1,sweep_all,synthetic,MEAP,sweep_all::meap1,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.7494756344799,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,9.01503849029541,solved,600.0
meap1,sweep_all,synthetic,MEAP,sweep_all::meap1,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.7494756344799,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,UNSAT,211.50204205513,solved,600.0
meap1,sweep_all,synthetic,MEAP,sweep_all::meap1,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.7494756344799,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,UNSAT,0.12191581726074219,solved,600.0
meap1,sweep_all,synthetic,MEAP,sweep_all::meap1,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.7494756344799,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3512115478515625,error,600.0
meap1,sweep_all,synthetic,MEAP,sweep_all::meap1,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.7494756344799,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,19.037955045700073,solved,600.0
meap2,sweep_all,synthetic,MEAP,sweep_all::meap2,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.6888794541139363,63.725779352993605,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,25.192187309265137,solved,600.0
meap2,sweep_all,synthetic,MEAP,sweep_all::meap2,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.6888794541139363,63.725779352993605,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.6776413917542,timeout,600.0
meap2,sweep_all,synthetic,MEAP,sweep_all::meap2,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.6888794541139363,63.725779352993605,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0103821754456,timeout,600.0
meap2,sweep_all,synthetic,MEAP,sweep_all::meap2,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.6888794541139363,63.725779352993605,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.424818515777588,error,600.0
meap2,sweep_all,synthetic,MEAP,sweep_all::meap2,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.6888794541139363,63.725779352993605,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,18.94107484817505,solved,600.0
meap3,sweep_all,synthetic,MEAP,sweep_all::meap3,onnx,0.0010000000474974513,1322.3931873338656,0.9763779527559056,4.330733340286331,64.18625208811567,0,100,10,14522,39,20,0,7,12,0,0,0,32,7,64,65561.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,72.88517665863037,solved,600.0
meap3,sweep_all,synthetic,MEAP,sweep_all::meap3,onnx,0.0010000000474974513,1322.3931873338656,0.9763779527559056,4.330733340286331,64.18625208811567,0,100,10,14522,39,20,0,7,12,0,0,0,32,7,64,65561.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.6109664440155,timeout,600.0
meap3,sweep_all,synthetic,MEAP,sweep_all::meap3,onnx,0.0010000000474974513,1322.3931873338656,0.9763779527559056,4.330733340286331,64.18625208811567,0,100,10,14522,39,20,0,7,12,0,0,0,32,7,64,65561.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0164189338684,timeout,600.0
meap3,sweep_all,synthetic,MEAP,sweep_all::meap3,onnx,0.0010000000474974513,1322.3931873338656,0.9763779527559056,4.330733340286331,64.18625208811567,0,100,10,14522,39,20,0,7,12,0,0,0,32,7,64,65561.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3287456035614014,error,600.0
meap3,sweep_all,synthetic,MEAP,sweep_all::meap3,onnx,0.0010000000474974513,1322.3931873338656,0.9763779527559056,4.330733340286331,64.18625208811567,0,100,10,14522,39,20,0,7,12,0,0,0,32,7,64,65561.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,22.915367126464844,solved,600.0
meap4,sweep_all,synthetic,MEAP,sweep_all::meap4,onnx,0.0010000000474974513,5365.0897056746335,0.9941291585127201,5.645446897643238,64.26292620454478,0,100,10,152250,51,26,0,9,16,0,0,0,42,9,256,618911.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,TIMEOUT,600.1044192314148,timeout,600.0
meap4,sweep_all,synthetic,MEAP,sweep_all::meap4,onnx,0.0010000000474974513,5365.0897056746335,0.9941291585127201,5.645446897643238,64.26292620454478,0,100,10,152250,51,26,0,9,16,0,0,0,42,9,256,618911.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.7989194393158,timeout,600.0
