n,pos,obs_dAUC,obs_dDeviance,null_dAUC_mean,null_dAUC_p95,null_dDev_mean,null_dDev_p95,p_AUC,p_Deviance,n_null,verifier,scenario
225,36,0.0892,0.0749,-0.0196,0.026,-0.0417,0.0012,0.002,0.002,500,abcrown,synthetic
218,64,0.0433,0.06,-0.0117,0.0179,-0.0453,0.002,0.004,0.004,500,neuralsat,synthetic
168,43,0.1201,0.1446,-0.0119,0.0338,-0.0497,0.0063,0.002,0.002,500,marabou,synthetic
127,20,0.072,0.0195,-0.0046,0.0701,-0.0357,0.0276,0.0459,0.0778,500,nnenum,synthetic
198,38,0.0087,0.0283,-0.0029,0.0231,-0.0109,0.0223,0.2016,0.0319,500,pyrat,synthetic
343,102,0.1345,0.1499,-0.0289,0.0196,-0.0431,0.0238,0.002,0.002,500,abcrown,combined
336,116,0.1602,0.1753,-0.0089,0.0508,-0.0239,0.0559,0.002,0.002,500,neuralsat,combined
286,94,0.1059,-0.09,-0.0273,0.0304,-0.0507,0.0135,0.002,0.8323,500,marabou,combined
247,92,0.1073,0.1309,-0.019,0.0302,-0.0575,0.0242,0.002,0.002,500,nnenum,combined
313,97,0.0715,0.2709,0.0243,0.0806,0.0616,0.1797,0.0758,0.006,500,pyrat,combined
