verifier,scenario,feature,std_coef,odds_ratio,nonzero_freq,sign_consistency
abcrown,synthetic,margin_hat_min,0.39,1.477,0.97,0.91
abcrown,synthetic,g_ibp,0.836,2.307,1.0,1.0
abcrown,synthetic,unstable_fraction,0.529,1.696,0.77,0.91
abcrown,synthetic,a_tau,0.038,1.039,0.67,0.85
abcrown,synthetic,d_eff,1.077,2.935,1.0,1.0
abcrown,combined,margin_hat_min,0.072,1.075,0.88,0.85
abcrown,combined,g_ibp,0.844,2.326,1.0,1.0
abcrown,combined,unstable_fraction,0.266,1.305,0.93,1.0
abcrown,combined,a_tau,-0.074,0.929,0.7,0.74
abcrown,combined,d_eff,0.201,1.223,0.97,1.0
neuralsat,synthetic,margin_hat_min,0.385,1.469,1.0,0.95
neuralsat,synthetic,g_ibp,0.588,1.8,1.0,0.98
neuralsat,synthetic,unstable_fraction,0.403,1.496,0.92,0.95
neuralsat,synthetic,a_tau,0.972,2.643,0.93,0.96
neuralsat,synthetic,d_eff,0.151,1.163,0.97,0.9
neuralsat,combined,margin_hat_min,0.654,1.923,1.0,0.97
neuralsat,combined,g_ibp,0.28,1.324,0.92,0.89
neuralsat,combined,unstable_fraction,2.054,7.8,1.0,1.0
neuralsat,combined,a_tau,0.318,1.375,0.92,0.95
neuralsat,combined,d_eff,0.543,1.722,0.95,0.93
marabou,synthetic,margin_hat_min,0.324,1.383,1.0,0.87
marabou,synthetic,g_ibp,2.631,13.889,1.0,1.0
marabou,synthetic,unstable_fraction,1.441,4.225,1.0,1.0
marabou,synthetic,a_tau,0.579,1.784,1.0,1.0
marabou,synthetic,d_eff,0.355,1.426,1.0,1.0
marabou,combined,margin_hat_min,0.518,1.679,1.0,0.9
marabou,combined,g_ibp,4.129,62.116,1.0,1.0
marabou,combined,unstable_fraction,2.35,10.482,1.0,1.0
marabou,combined,a_tau,0.17,1.185,0.98,0.58
marabou,combined,d_eff,-0.905,0.405,0.97,0.62
nnenum,synthetic,margin_hat_min,-2.141,0.118,1.0,0.97
nnenum,synthetic,g_ibp,3.654,38.622,1.0,1.0
nnenum,synthetic,unstable_fraction,2.062,7.861,1.0,1.0
nnenum,synthetic,a_tau,1.21,3.354,1.0,0.97
nnenum,synthetic,d_eff,-1.043,0.352,1.0,0.83
nnenum,combined,margin_hat_min,0.05,1.051,0.87,0.65
nnenum,combined,g_ibp,4.711,111.139,1.0,1.0
nnenum,combined,unstable_fraction,2.422,11.272,1.0,1.0
nnenum,combined,a_tau,0.095,1.1,0.93,0.57
nnenum,combined,d_eff,-0.178,0.837,0.92,0.53
pyrat,synthetic,margin_hat_min,-0.133,0.876,1.0,0.83
pyrat,synthetic,g_ibp,0.322,1.38,1.0,0.95
pyrat,synthetic,unstable_fraction,0.429,1.536,1.0,0.92
pyrat,synthetic,a_tau,0.533,1.705,1.0,0.95
pyrat,synthetic,d_eff,0.457,1.58,1.0,1.0
pyrat,combined,margin_hat_min,-0.05,0.951,1.0,0.68
pyrat,combined,g_ibp,0.852,2.344,1.0,1.0
pyrat,combined,unstable_fraction,0.364,1.439,1.0,0.92
pyrat,combined,a_tau,-0.155,0.857,1.0,0.78
pyrat,combined,d_eff,0.346,1.413,1.0,1.0
