,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes
margin_hat_min,1.0,-0.3582205904888443,-0.1192817217304417,-0.05734251038179632,-0.15043245121214224,0.10906059177592822,0.06873833812524427,0.1759023641776617,0.1654787874706429,-0.09390421362257263,0.08119468168111964,0.012690632538719233,-0.08055500917074386,0.12533937946661308,0.12533937946661308,0.39181790876688377,0.1415795473857537,0.021809513244629822,0.24200580532411636,0.20084883411317747
g_ibp,-0.3582205904888443,1.0,0.15949859103362388,0.28523804892880966,0.5824229546980461,0.5101713628935742,-0.17693939675971743,0.4199035599378228,-0.21921422890366624,0.3348190086109185,-0.24490543585275057,0.22984776820997466,-0.0833132277731335,-0.30402813090216557,-0.30402813090216557,-0.15508613486979672,0.03312206647957778,0.23093163117760207,0.11246219837635436,0.42858212037409893
unstable_fraction,-0.1192817217304417,0.15949859103362388,1.0,-0.18230429539260062,-0.3178949304910045,-0.308201529835749,0.24671440506503137,-0.34017134776017727,0.11463050611681092,-0.015287195156325156,0.06635106832567408,0.014731542189536258,0.38193449830877774,0.33698160637314334,0.33698160637314334,-0.39418732990541516,0.19090050783711746,-0.023109758430655193,-0.14855229550320478,-0.4202495497288717
a_tau,-0.05734251038179632,0.28523804892880966,-0.18230429539260062,1.0,0.46303242033284997,0.23755217687513802,0.1995214480753679,0.47980710130752746,0.12587388906942784,-0.24940109986167325,0.4082370868785593,0.5126330161757586,-0.35702751282292655,-0.2955744266661797,-0.2955744266661797,-0.3172792723423879,0.3011998356390539,0.5160005955972476,0.5636240739315894,0.48759575364962665
d_eff,-0.15043245121214224,0.5824229546980461,-0.3178949304910045,0.46303242033284997,1.0,0.7567294688615689,0.009307483963277415,0.67550911829015,-0.14305697306618453,0.26422525975087285,-0.2862908059205488,0.05070945995618283,0.0363910248038426,-0.009414000957570794,-0.009414000957570794,0.06337771998708146,-0.010641838504734102,0.06552609594230674,0.32425391568236905,0.6793546726909727
input_dim,0.10906059177592822,0.5101713628935742,-0.308201529835749,0.23755217687513802,0.7567294688615689,1.0,0.1327360913672136,0.7702588121085717,-0.05512282919547597,0.3124658450414032,-0.21738139971629902,0.14821908252508778,-0.058709995745762446,-0.10711188946319339,-0.10711188946319339,0.020102753555848177,0.1159637584382266,0.15091552389590762,0.5009100305032743,0.7553238887606677
output_dim,0.06873833812524427,-0.17693939675971743,0.24671440506503137,0.1995214480753679,0.009307483963277415,0.1327360913672136,1.0,0.21442705735449455,0.6915265026930558,0.13129078948420858,0.1893539390453513,0.23680974475726518,0.4257711256218428,0.5342271663953747,0.5342271663953747,-0.6030831407857449,0.6008280249207718,0.19284392697167163,0.35116952132410373,0.2314426763198819
n_param_total,0.1759023641776617,0.4199035599378228,-0.34017134776017727,0.47980710130752746,0.67550911829015,0.7702588121085717,0.21442705735449455,1.0,0.20261317403844387,0.21178835699890214,-0.0369893270744584,0.47555585569652276,-0.1728309482741333,-0.11277926964966857,-0.11277926964966857,-0.06493091163974438,0.39358179042185887,0.4840517713543179,0.7176830414993869,0.9984438437453093
n_nodes,0.1654787874706429,-0.21921422890366624,0.11463050611681092,0.12587388906942784,-0.14305697306618453,-0.05512282919547597,0.6915265026930558,0.20261317403844387,1.0,0.16393893258997738,0.32111853619305447,0.6232695662259581,0.4856109581614084,0.3503700373242182,0.3503700373242182,-0.3859462902630438,0.909667227567484,0.6029113654182477,0.26112600658456014,0.20400511252663295
n_gemm_matmul,-0.09390421362257263,0.3348190086109185,-0.015287195156325156,-0.24940109986167325,0.26422525975087285,0.3124658450414032,0.13129078948420858,0.21178835699890214,0.16393893258997738,1.0,-0.827330213534238,-0.10910986816099534,0.3453677283708157,0.13020593730948873,0.13020593730948873,-0.13460360137313152,0.038293979146929405,-0.12290168649341696,-0.3566462434395572,0.24085278244847277
n_conv,0.08119468168111964,-0.24490543585275057,0.06635106832567408,0.4082370868785593,-0.2862908059205488,-0.21738139971629902,0.1893539390453513,-0.0369893270744584,0.32111853619305447,-0.827330213534238,1.0,0.5672318175635568,-0.23073285692916784,-0.16737662085935653,-0.16737662085935653,-0.1918745331406642,0.4670865830589506,0.5673746229712742,0.5321997786369953,-0.07341606376570593
