,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes
margin_hat_min,1.0,-0.01889026630425412,0.19985589151960395,0.5325014647326406,0.26243927508761283,-0.3666806720986959,,0.34282410438512767,0.14986322317943893,0.3455693798608354,-0.35645063365359136,0.14986322317943893,,,,,0.14986322317943893,0.14986322317943893,-0.16218288873840322,0.34282410438512767
g_ibp,-0.01889026630425412,1.0,0.8182034422819633,0.058786955090954454,-0.12353635669143691,-0.1094482447967016,,0.647981586657962,0.8979279552575777,0.6590755510446887,-0.09720930114417271,0.8979279552575777,,,,,0.8979279552575777,0.8979279552575777,-0.11132311912606811,0.647981586657962
unstable_fraction,0.19985589151960395,0.8182034422819633,1.0,0.047522445987753126,-0.12626289810000835,-0.3894599961089552,,0.8069374315810202,0.799890101196738,0.8119603480592213,-0.3880134741295462,0.799890101196738,,,,,0.799890101196738,0.799890101196738,-0.11443381053611433,0.8069374315810202
a_tau,0.5325014647326406,0.058786955090954454,0.047522445987753126,1.0,0.5486607914756311,0.054161717512676344,,0.04018889922217565,0.08019831993289304,0.018658870838951576,0.04445077172685132,0.08019831993289304,,,,,0.08019831993289304,0.08019831993289304,0.10080259097118581,0.04018889922217565
d_eff,0.26243927508761283,-0.12353635669143691,-0.12626289810000835,0.5486607914756311,1.0,0.19111774725921496,,-0.08892748068737442,-0.24458791425334503,-0.167619932831803,0.099548930383603,-0.24458791425334503,,,,,-0.24458791425334503,-0.24458791425334503,0.6997714554761061,-0.08892748068737442
input_dim,-0.3666806720986959,-0.1094482447967016,-0.3894599961089552,0.054161717512676344,0.19111774725921496,1.0,,-0.7689218919450849,-0.08559209850218259,-0.7745966692414834,0.9908673886137246,-0.08559209850218259,,,,,-0.08559209850218259,-0.08559209850218259,0.329292779969071,-0.7689218919450849
output_dim,,,,,,,,,,,,,,,,,,,,
n_param_total,0.34282410438512767,0.647981586657962,0.8069374315810202,0.04018889922217565,-0.08892748068737442,-0.7689218919450849,,1.0,0.6252295640005588,0.9926738940125375,-0.7760088794736165,0.6252295640005588,,,,,0.6252295640005588,0.6252295640005588,-0.15004469770528867,1.0
n_nodes,0.14986322317943893,0.8979279552575777,0.799890101196738,0.08019831993289304,-0.24458791425334503,-0.08559209850218259,,0.6252295640005588,1.0,0.6629935441317959,-0.04240520956441317,1.0,,,,,1.0,1.0,-0.32412589068045805,0.6252295640005588
n_gemm_matmul,0.3455693798608354,0.6590755510446887,0.8119603480592213,0.018658870838951576,-0.167619932831803,-0.7745966692414834,,0.9926738940125375,0.6629935441317959,1.0,-0.7675225788801976,0.6629935441317959,,,,,0.6629935441317959,0.6629935441317959,-0.2550690905693111,0.9926738940125375
n_conv,-0.35645063365359136,-0.09720930114417271,-0.3880134741295462,0.04445077172685132,0.099548930383603,0.9908673886137246,,-0.7760088794736165,-0.04240520956441317,-0.7675225788801976,1.0,-0.04240520956441317,,,,,-0.04240520956441317,-0.04240520956441317,0.19939668037502106,-0.7760088794736165
n_relu,0.14986322317943893,0.8979279552575777,0.799890101196738,0.08019831993289304,-0.24458791425334503,-0.08559209850218259,,0.6252295640005588,1.0,0.6629935441317959,-0.04240520956441317,1.0,,,,,1.0,1.0,-0.32412589068045805,0.6252295640005588
n_add,,,,,,,,,,,,,,,,,,,,
n_mul,,,,,,,,,,,,,,,,,,,,
n_softmax,,,,,,,,,,,,,,,,,,,,
n_pow,,,,,,,,,,,,,,,,,,,,
graph_depth,0.14986322317943893,0.8979279552575777,0.799890101196738,0.08019831993289304,-0.24458791425334503,-0.08559209850218259,,0.6252295640005588,1.0,0.6629935441317959,-0.04240520956441317,1.0,,,,,1.0,1.0,-0.32412589068045805,0.6252295640005588
n_hidden_layers,0.14986322317943893,0.8979279552575777,0.799890101196738,0.08019831993289304,-0.24458791425334503,-0.08559209850218259,,0.6252295640005588,1.0,0.6629935441317959,-0.04240520956441317,1.0,,,,,1.0,1.0,-0.32412589068045805,0.6252295640005588
max_hidden_width,-0.16218288873840322,-0.11132311912606811,-0.11443381053611433,0.10080259097118581,0.6997714554761061,0.329292779969071,,-0.15004469770528867,-0.32412589068045805,-0.2550690905693111,0.19939668037502106,-0.32412589068045805,,,,,-0.32412589068045805,-0.32412589068045805,1.0,-0.15004469770528867
onnx_file_bytes,0.34282410438512767,0.647981586657962,0.8069374315810202,0.04018889922217565,-0.08892748068737442,-0.7689218919450849,,1.0,0.6252295640005588,0.9926738940125375,-0.7760088794736165,0.6252295640005588,,,,,0.6252295640005588,0.6252295640005588,-0.15004469770528867,1.0
