,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes
margin_hat_min,1.0,-0.5102376614395286,-0.301422096771897,-0.173761970074789,-0.210453326346074,0.39010300649023993,0.05026469382166454,0.45467936699744543,0.1381213951837501,-0.17734514450764263,0.20822856003792456,-0.09981137731310052,-0.15934668448124883,0.1204548078374584,0.1204548078374584,0.47528774451951905,0.06162386896727923,-0.07147565324863031,0.38881800511472675,0.4001634025107649
g_ibp,-0.5102376614395286,1.0,0.3740615336468446,0.0302799260188138,0.35883493014041257,0.08044876446381417,-0.4341510966921277,-0.16447350446687636,-0.42995618569954674,-0.05724468399666882,-0.1322492315747402,0.0213142893599816,0.03253731857567286,-0.3213161159863761,-0.3213161159863761,0.0,-0.23336535254202628,0.0337044726738519,-0.17195540883202867,-0.1515438419204574
unstable_fraction,-0.301422096771897,0.3740615336468446,1.0,-0.20101762747382654,0.004521287177736979,0.1315403128107257,0.36786788502650014,-0.23978991392345214,0.06091901190741441,0.16352014392030167,-0.15835226096705807,-0.15546785081494768,0.3970068039220563,0.38688668190623426,0.38688668190623426,-0.4608690725599713,0.0848468984144427,-0.23785535562990254,-0.01547098135390535,-0.22508955145864548
a_tau,-0.173761970074789,0.0302799260188138,-0.20101762747382654,1.0,0.007541828649260233,-0.47414982436771164,0.13926774695651972,0.25815241852300813,0.18809710709160476,-0.69855244670747,0.7368629459133447,0.6670078432615802,-0.3432886605134917,-0.31305710758251665,-0.31305710758251665,-0.32154098151092647,0.3834554594371222,0.6784612796919877,0.5050652479453454,0.36128610108195214
d_eff,-0.210453326346074,0.35883493014041257,0.004521287177736979,0.007541828649260233,1.0,0.2602371999327329,-0.2972893263020619,0.12972038014056783,-0.11878373884219057,0.020760848984523034,-0.2486211537651753,-0.23419941965089763,0.43545692073023434,0.2416960468928473,0.2416960468928473,0.42182834792411183,-0.14154571959109133,-0.181069221567119,-0.1609991003797016,0.09595838039997133
input_dim,0.39010300649023993,0.08044876446381417,0.1315403128107257,-0.47414982436771164,0.2602371999327329,1.0,-0.06875995934942412,0.42704468336604395,0.052800109814394244,0.19315500833509397,-0.15881004940049975,-0.11953484682221027,0.26689828593347664,0.06285708789998838,0.06285708789998838,0.35142988461120933,0.07013785697340542,-0.10992625236689861,0.20669362973601968,0.3575467002675432
output_dim,0.05026469382166454,-0.4341510966921277,0.36786788502650014,0.13926774695651972,-0.2972893263020619,-0.06875995934942412,1.0,0.09991946454784975,0.7956579207292725,0.0482405880163013,0.280183774358619,0.24026274400694797,0.466819595550811,0.5596167355385798,0.5596167355385798,-0.6289178555847431,0.6982558871529478,0.15221619330920858,0.3715384068854,0.31092471852070325
n_param_total,0.45467936699744543,-0.16447350446687636,-0.23978991392345214,0.25815241852300813,0.12972038014056783,0.42704468336604395,0.09991946454784975,1.0,0.41567097213101245,-0.4203951578642352,0.5303605884204062,0.45978856096751003,0.02849107701042661,0.04755792004897602,0.04755792004897602,0.17944454176895744,0.5097577607095625,0.4905776705581637,0.7812848859579561,0.9937029102863808
n_nodes,0.1381213951837501,-0.42995618569954674,0.06091901190741441,0.18809710709160476,-0.11878373884219057,0.052800109814394244,0.7956579207292725,0.41567097213101245,1.0,0.06051343759601358,0.3798672939816595,0.5252431979212097,0.5787989497528387,0.4108869062417861,0.4108869062417861,-0.44256923885884425,0.9230162621889351,0.4793622091568913,0.3795658588452174,0.6210326992298606
n_gemm_matmul,-0.17734514450764263,-0.05724468399666882,0.16352014392030167,-0.69855244670747,0.020760848984523034,0.19315500833509397,0.0482405880163013,-0.4203951578642352,0.06051343759601358,1.0,-0.8595134620997962,-0.4835397899722491,0.5132770481656065,0.25796921002867335,0.25796921002867335,-0.029175147775753633,-0.20031448810023325,-0.5135845342095788,-0.7271888947385129,-0.37911229675408775
