scenario,verifier,subgroup,n,to_rate,S_auc,SD_auc,dAUC
B_established,neuralsat,oval21,28,0.32,0.304,0.532,0.228
B_established,neuralsat,vnncomp_mnist_fc,90,0.48,0.678,0.757,0.079
B_established,nnenum,oval21,30,0.87,0.5,0.49,-0.01
B_established,nnenum,vnncomp_mnist_fc,90,0.51,0.708,0.75,0.042
A_synthetic,pyrat,Input-Corner Stress,22,0.14,1.0,0.895,-0.105
A_synthetic,pyrat,MILP,22,0.14,0.947,0.93,-0.017
A_synthetic,pyrat,Paired-Biases,46,0.22,0.825,0.836,0.011
B_established,abcrown,oval21,30,0.47,0.277,0.326,0.049
B_established,abcrown,vnncomp_mnist_fc,88,0.53,0.652,0.954,0.302
B_established,pyrat,oval21,30,0.73,0.557,0.699,0.142
B_established,pyrat,vnncomp_mnist_fc,85,0.42,0.344,0.868,0.524
C_combined,marabou,Deep Contractive,50,0.04,0.958,1.0,0.042
C_combined,marabou,Input-Corner Stress,22,0.45,0.483,0.967,0.484
C_combined,marabou,MEAP,14,0.79,0.758,0.788,0.03
C_combined,marabou,MILP,31,0.48,0.558,0.967,0.409
C_combined,marabou,MNIST_fc,90,0.57,0.304,0.783,0.479
C_combined,marabou,Paired-Biases,46,0.28,0.711,0.893,0.182
C_combined,marabou,oval21,28,0.29,0.0,0.0,0.0
A_synthetic,nnenum,MILP,31,0.32,0.743,0.952,0.209
A_synthetic,nnenum,Paired-Biases,46,0.35,0.656,0.85,0.194
A_synthetic,marabou,Deep Contractive,50,0.04,0.958,1.0,0.042
A_synthetic,marabou,Input-Corner Stress,22,0.45,0.525,0.967,0.442
A_synthetic,marabou,MEAP,14,0.79,0.727,0.788,0.061
A_synthetic,marabou,MILP,31,0.48,0.613,0.971,0.358
A_synthetic,marabou,Paired-Biases,46,0.28,0.683,0.902,0.219
C_combined,nnenum,MILP,31,0.32,0.638,0.943,0.305
C_combined,nnenum,MNIST_fc,90,0.56,0.275,0.819,0.544
C_combined,nnenum,Paired-Biases,46,0.35,0.644,0.835,0.191
C_combined,nnenum,oval21,30,0.9,0.377,0.42,0.043
B_established,marabou,oval21,28,0.29,0.0,0.037,0.037
B_established,marabou,vnncomp_mnist_fc,90,0.48,0.352,0.607,0.255
C_combined,neuralsat,Deep Contractive,50,0.56,0.597,0.862,0.265
C_combined,neuralsat,Input-Corner Stress,22,0.14,1.0,0.912,-0.088
C_combined,neuralsat,MEAP,14,0.86,1.0,1.0,0.0
C_combined,neuralsat,MILP,30,0.07,0.482,0.643,0.161
C_combined,neuralsat,MNIST_fc,90,0.48,0.352,0.75,0.398
C_combined,neuralsat,Paired-Biases,46,0.3,0.674,0.77,0.096
C_combined,neuralsat,Polynomial Net,16,0.31,0.109,0.473,0.364
C_combined,neuralsat,oval21,28,0.32,0.304,0.667,0.363
C_combined,abcrown,Input-Corner Stress,22,0.23,0.624,0.835,0.211
C_combined,abcrown,MEAP,14,0.07,0.0,0.385,0.385
C_combined,abcrown,MILP,31,0.39,0.57,0.776,0.206
C_combined,abcrown,MNIST_fc,88,0.53,0.348,0.79,0.442
C_combined,abcrown,Paired-Biases,46,0.24,0.719,0.857,0.138
C_combined,abcrown,Polynomial Net,22,0.27,0.156,0.333,0.177
C_combined,abcrown,oval21,30,0.47,0.277,0.277,0.0
A_synthetic,neuralsat,Input-Corner Stress,22,0.14,1.0,0.807,-0.193
A_synthetic,neuralsat,MEAP,14,0.57,0.5,0.583,0.083
A_synthetic,neuralsat,MILP,30,0.03,0.069,0.828,0.759
A_synthetic,neuralsat,Paired-Biases,46,0.24,0.73,0.81,0.08
A_synthetic,neuralsat,Polynomial Net,16,0.31,0.291,0.4,0.109
C_combined,pyrat,Input-Corner Stress,22,0.14,0.982,0.807,-0.175
C_combined,pyrat,MILP,22,0.14,0.965,0.825,-0.14
C_combined,pyrat,MNIST_fc,85,0.42,0.347,0.638,0.291
C_combined,pyrat,Paired-Biases,46,0.22,0.831,0.967,0.136
C_combined,pyrat,oval21,30,0.73,0.67,0.699,0.029
A_synthetic,abcrown,Input-Corner Stress,22,0.14,1.0,0.754,-0.246
A_synthetic,abcrown,MEAP,14,0.07,0.0,0.0,0.0
A_synthetic,abcrown,MILP,31,0.39,0.693,0.803,0.11
A_synthetic,abcrown,Paired-Biases,46,0.22,0.814,0.892,0.078
A_synthetic,abcrown,Polynomial Net,22,0.27,0.417,0.594,0.177
