verifier,scenario,n,pos,S_auc,SD_auc,SDshuf_mean,SDshuf_p95,real_boost,shuf_boost,perm_p
abcrown,synthetic,225,36,0.836,0.897,0.822,0.85,0.061,-0.014,0.0323
neuralsat,synthetic,218,64,0.879,0.901,0.874,0.888,0.021,-0.005,0.0323
marabou,synthetic,168,43,0.872,0.962,0.858,0.887,0.09,-0.014,0.0323
nnenum,synthetic,127,20,0.859,0.919,0.838,0.884,0.06,-0.021,0.0323
pyrat,synthetic,198,38,0.977,0.975,0.967,0.976,-0.002,-0.011,0.129
abcrown,combined,343,102,0.755,0.82,0.758,0.777,0.065,0.003,0.0323
neuralsat,combined,336,116,0.792,0.835,0.779,0.804,0.042,-0.013,0.0323
marabou,combined,286,94,0.669,0.816,0.657,0.676,0.147,-0.012,0.0323
nnenum,combined,247,92,0.776,0.891,0.779,0.816,0.115,0.003,0.0323
pyrat,combined,313,97,0.878,0.929,0.881,0.889,0.052,0.003,0.0323
