instance_id,benchmark,family,arch,domain,axis,n_samples,dist_preset,atau_width,proj_dim,eta,u_mode,u_tau,seed,component,value,na_reason,wall_time_s
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.0,0,unstable_fraction,0.0,,0.012
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.0,1,unstable_fraction,0.0,,0.007
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.001,0,unstable_fraction,0.0,,0.01
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.001,1,unstable_fraction,0.0,,0.017
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.01,0,unstable_fraction,0.0,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.01,1,unstable_fraction,0.0,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.05,0,unstable_fraction,0.0,,0.035
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.05,1,unstable_fraction,0.0,,0.008
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.1,0,unstable_fraction,0.0,,0.05
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.1,1,unstable_fraction,0.0,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.25,0,unstable_fraction,0.0,,0.025
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,width,0.25,1,unstable_fraction,0.0,,0.008
ep3,sweep_all,Constant-on-Box,MLP,synthetic,U,200,current_mixture,0.1,10,1e-12,omega,0.0,0,unstable_fraction,0.0,,0.029
