component,arch,median_cov
margin_hat_min,ATTENTION,3.2399982729600266e-08
margin_hat_min,CNN,1.514723791254086e-06
margin_hat_min,MLP,0.0
d_eff,ATTENTION,0.0006823212998788704
d_eff,CNN,0.03564114699953617
d_eff,MLP,0.003880231929082909
unstable_fraction,ATTENTION,0.0
unstable_fraction,CNN,0.0
unstable_fraction,MLP,0.0
g_ibp,ATTENTION,7.273384275475686e-07
g_ibp,CNN,3.643506511625835e-08
g_ibp,MLP,0.0
a_tau,ATTENTION,0.4065642911207399
a_tau,CNN,0.0007997068060596852
a_tau,MLP,0.017227099993688592
