instance_id,benchmark,family,arch,difficulty,tercile,onnx_path,vnnlib_path,has_onnx,domain
ep3,sweep_all,Constant-on-Box,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/ep3/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/ep3/spec.vnnlib,True,synthetic
ep4,sweep_all,Constant-on-Box,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/ep4/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/ep4/spec.vnnlib,True,synthetic
dc_cnn26,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn26/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn26/spec.vnnlib,True,synthetic
dc_cnn25,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn25/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn25/spec.vnnlib,True,synthetic
dc_cnn27,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn27/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn27/spec.vnnlib,True,synthetic
dc_cnn24,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn24/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn24/spec.vnnlib,True,synthetic
dc_cnn28,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn28/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn28/spec.vnnlib,True,synthetic
dc_cnn23,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn23/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn23/spec.vnnlib,True,synthetic
dc_cnn29,sweep_all,Deep Contractive,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn29/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/dc_cnn29/spec.vnnlib,True,synthetic
ld10,sweep_all,Dominant Key Attn,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/ld10/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/ld10/spec.vnnlib,True,synthetic
