u_mode,u_tau,arch,value
omega,0.0,ATTENTION,1.0
omega,0.0,CNN,0.846647124576812
omega,0.0,MLP,0.6030840555400242
omega,0.001,ATTENTION,1.0
omega,0.001,CNN,0.846647124576812
omega,0.001,MLP,0.6030840555400242
omega,0.01,ATTENTION,1.0
omega,0.01,CNN,0.846647124576812
omega,0.01,MLP,0.6030840555400242
omega,0.05,ATTENTION,1.0
omega,0.05,CNN,0.846647124576812
omega,0.05,MLP,0.6030840555400242
omega,0.1,ATTENTION,1.0
omega,0.1,CNN,0.846647124576812
omega,0.1,MLP,0.6030840555400242
omega,0.25,ATTENTION,1.0
omega,0.25,CNN,0.846647124576812
omega,0.25,MLP,0.6030840555400242
width,0.0,ATTENTION,1.0
width,0.0,CNN,0.846647124576812
width,0.0,MLP,0.6030840555400242
width,0.001,ATTENTION,1.0
width,0.001,CNN,0.846647124576812
width,0.001,MLP,0.6030840555400242
width,0.01,ATTENTION,1.0
width,0.01,CNN,0.846647124576812
width,0.01,MLP,0.6030840555400242
width,0.05,ATTENTION,1.0
width,0.05,CNN,0.846647124576812
width,0.05,MLP,0.6030840555400242
width,0.1,ATTENTION,1.0
width,0.1,CNN,0.846647124576812
width,0.1,MLP,0.6030840555400242
width,0.25,ATTENTION,1.0
width,0.25,CNN,0.846647124576812
width,0.25,MLP,0.6030840555400242
