instance_id,status,wall_time_s,rc,construction,seed
meap1,UNSAT,9.015038,0,mlp_relu.meap,0
meap2,UNSAT,25.192187,0,mlp_relu.meap,0
meap3,UNSAT,72.885177,0,mlp_relu.meap,0
meap4,TIMEOUT,600.104419,124,mlp_relu.meap,0
meap5,UNSAT,37.265408,0,mlp_relu.meap,0
meap6,UNSAT,25.230706,0,mlp_relu.meap,0
meap7,UNSAT,30.905230,0,mlp_relu.meap,0
meap8,UNSAT,34.913395,0,mlp_relu.meap,0
meap9,UNSAT,26.232632,0,mlp_relu.meap,0
meap10,UNSAT,24.599721,0,mlp_relu.meap,0
meap11,UNSAT,28.774168,0,mlp_relu.meap,0
meap12,UNSAT,25.734852,0,mlp_relu.meap,0
meap13,UNSAT,8.854910,0,mlp_relu.meap,0
meap14,UNSAT,23.356231,0,mlp_relu.meap,0
milp1,UNSAT,7.150470,0,mlp_relu.milp.exact_radius,0
milp2,UNSAT,9.415896,0,mlp_relu.milp.exact_radius,0
milp3,UNSAT,10.895057,0,mlp_relu.milp.exact_radius,0
milp4,UNSAT,11.329007,0,mlp_relu.milp.exact_radius,0
milp5,TIMEOUT,11.638339,2,mlp_relu.milp.exact_radius,0
milp6,TIMEOUT,13.128539,2,mlp_relu.milp.exact_radius,0
milp7,TIMEOUT,11.086544,2,mlp_relu.milp.exact_radius,0
milp8,UNSAT,8.153729,0,mlp_relu.milp.exact_radius,1
milp9,UNSAT,13.480919,0,mlp_relu.milp.exact_radius,1
milp10,UNSAT,30.459722,0,mlp_relu.milp.exact_radius,1
milp11,UNSAT,29.872690,0,mlp_relu.milp.exact_radius,1
milp12,TIMEOUT,30.609462,2,mlp_relu.milp.exact_radius,1
milp13,TIMEOUT,28.446785,2,mlp_relu.milp.exact_radius,1
milp14,TIMEOUT,29.627522,2,mlp_relu.milp.exact_radius,1
milp15,UNSAT,7.105020,0,mlp_relu.milp.exact_radius,2
milp16,UNSAT,7.852765,0,mlp_relu.milp.exact_radius,2
milp17,UNSAT,9.058955,0,mlp_relu.milp.exact_radius,2
milp18,UNSAT,8.959894,0,mlp_relu.milp.exact_radius,2
milp19,UNSAT,9.178461,0,mlp_relu.milp.exact_radius,2
milp20,TIMEOUT,9.329261,2,mlp_relu.milp.exact_radius,2
milp21,TIMEOUT,9.033779,2,mlp_relu.milp.exact_radius,2
milp22,UNSAT,8.340467,0,mlp_relu.milp.exact_radius,0
milp23,UNSAT,10.239333,0,mlp_relu.milp.exact_radius,0
milp24,UNSAT,48.224715,0,mlp_relu.milp.exact_radius,0
milp25,TIMEOUT,600.108613,124,mlp_relu.milp.exact_radius,0
milp26,TIMEOUT,600.110808,124,mlp_relu.milp.exact_radius,0
milp27,UNSAT,17.325659,0,mlp_relu.milp.exact_radius,1
milp28,UNSAT,45.015273,0,mlp_relu.milp.exact_radius,1
milp29,UNSAT,21.362702,0,mlp_relu.milp.exact_radius,1
milp30,TIMEOUT,600.120654,124,mlp_relu.milp.exact_radius,1
milp31,TIMEOUT,600.118960,124,mlp_relu.milp.exact_radius,1
rc1,UNSAT,30.215055,0,mlp_relu.corners,1
rc2,UNSAT,28.011421,0,mlp_relu.corners,2
rc3,UNSAT,27.729908,0,mlp_relu.corners,
rc4,UNSAT,29.073713,0,mlp_relu.corners,1
rc5,UNSAT,28.065550,0,mlp_relu.corners,2
rc6,UNSAT,29.418825,0,mlp_relu.corners,3
rc7,UNSAT,27.554588,0,mlp_relu.corners,1
rc8,UNSAT,28.181424,0,mlp_relu.corners,2
rc9,UNSAT,27.662993,0,mlp_relu.corners,3
rc10,UNSAT,47.765194,0,mlp_relu.corners,1
rc11,UNSAT,41.527061,0,mlp_relu.corners,2
rc12,UNSAT,35.869598,0,mlp_relu.corners,3
rc13,UNSAT,43.355988,0,mlp_relu.corners,1
rc14,UNSAT,53.082873,0,mlp_relu.corners,2
rc15,UNSAT,50.729911,0,mlp_relu.corners,3
rc16,UNSAT,547.471906,0,mlp_relu.corners,1
rc17,UNSAT,328.582164,0,mlp_relu.corners,2
rc18,UNSAT,519.099367,0,mlp_relu.corners,3
rc19,UNSAT,13.368500,0,mlp_relu.corners,1
rc20,TIMEOUT,600.122010,124,mlp_relu.corners,1
rc21,TIMEOUT,600.122677,124,mlp_relu.corners,1
rc22,TIMEOUT,600.130937,124,mlp_relu.corners,1
ep1,ERROR,38.595402,2,mlp_relu.embedded_projection,0
ep2,ERROR,39.758061,2,mlp_relu.embedded_projection,0
ep3,ERROR,37.925334,2,mlp_relu.embedded_projection,0
ep4,ERROR,38.282430,2,mlp_relu.embedded_projection,0
ep5,ERROR,39.280717,2,mlp_relu.embedded_projection,0
dc_cnn1,UNSAT,46.317451,0,cnn.deep_contractive_cnn,0
