instance_id,status,wall_time_s,rc,construction,seed
000001,UNSAT,10.032748,0,vnncomp.ingested,
000002,ERROR,122.350174,2,vnncomp.ingested,
000003,ERROR,32.041687,2,vnncomp.ingested,
000004,UNSAT,7.261923,0,vnncomp.ingested,
000005,UNSAT,7.549572,0,vnncomp.ingested,
000006,UNSAT,7.407108,0,vnncomp.ingested,
000007,UNSAT,10.401011,0,vnncomp.ingested,
000008,UNSAT,7.160963,0,vnncomp.ingested,
000009,UNSAT,8.693317,0,vnncomp.ingested,
000010,UNSAT,7.459490,0,vnncomp.ingested,
000011,UNSAT,7.528640,0,vnncomp.ingested,
000012,UNSAT,7.799023,0,vnncomp.ingested,
000013,TIMEOUT,360.106019,124,vnncomp.ingested,
000014,UNSAT,13.126582,0,vnncomp.ingested,
000015,UNSAT,9.302311,0,vnncomp.ingested,
000016,TIMEOUT,360.108120,124,vnncomp.ingested,
000017,TIMEOUT,360.106134,124,vnncomp.ingested,
000018,TIMEOUT,360.119188,124,vnncomp.ingested,
000019,UNSAT,17.557463,0,vnncomp.ingested,
000020,TIMEOUT,360.111388,124,vnncomp.ingested,
000021,TIMEOUT,360.134590,124,vnncomp.ingested,
000022,TIMEOUT,360.114678,124,vnncomp.ingested,
000023,UNSAT,26.358130,0,vnncomp.ingested,
000024,TIMEOUT,360.136113,124,vnncomp.ingested,
000025,UNSAT,213.095819,0,vnncomp.ingested,
000026,UNSAT,268.676447,0,vnncomp.ingested,
000027,UNSAT,118.336102,0,vnncomp.ingested,
000028,TIMEOUT,360.106085,124,vnncomp.ingested,
000029,UNSAT,50.638678,0,vnncomp.ingested,
000030,UNSAT,112.671367,0,vnncomp.ingested,
000031,UNSAT,41.463192,0,vnncomp.ingested,
000032,TIMEOUT,360.131243,124,vnncomp.ingested,
000033,UNSAT,60.803164,0,vnncomp.ingested,
000034,UNSAT,40.095748,0,vnncomp.ingested,
000035,UNSAT,43.935008,0,vnncomp.ingested,
000036,UNSAT,48.605059,0,vnncomp.ingested,
000037,TIMEOUT,360.199854,124,vnncomp.ingested,
000038,UNSAT,57.826824,0,vnncomp.ingested,
000039,TIMEOUT,360.107363,124,vnncomp.ingested,
000040,UNSAT,53.421253,0,vnncomp.ingested,
000041,UNSAT,56.156217,0,vnncomp.ingested,
000042,UNSAT,48.355596,0,vnncomp.ingested,
000043,UNSAT,57.065048,0,vnncomp.ingested,
000044,UNSAT,52.497345,0,vnncomp.ingested,
000045,UNSAT,47.885120,0,vnncomp.ingested,
000046,TIMEOUT,360.118976,124,vnncomp.ingested,
000047,TIMEOUT,360.126956,124,vnncomp.ingested,
000048,TIMEOUT,360.119655,124,vnncomp.ingested,
000049,TIMEOUT,360.106515,124,vnncomp.ingested,
000050,TIMEOUT,360.135267,124,vnncomp.ingested,
000051,TIMEOUT,360.124364,124,vnncomp.ingested,
000052,TIMEOUT,360.137227,124,vnncomp.ingested,
000053,TIMEOUT,360.131589,124,vnncomp.ingested,
000054,TIMEOUT,360.134364,124,vnncomp.ingested,
000055,TIMEOUT,360.169896,124,vnncomp.ingested,
000056,TIMEOUT,360.135454,124,vnncomp.ingested,
000057,TIMEOUT,360.145769,124,vnncomp.ingested,
000058,TIMEOUT,360.245292,124,vnncomp.ingested,
000059,TIMEOUT,360.125406,124,vnncomp.ingested,
000060,TIMEOUT,360.128256,124,vnncomp.ingested,
000061,UNSAT,78.971330,0,vnncomp.ingested,
000062,TIMEOUT,360.201505,124,vnncomp.ingested,
000063,UNSAT,193.102617,0,vnncomp.ingested,
000064,UNSAT,88.526303,0,vnncomp.ingested,
000065,UNSAT,132.218130,0,vnncomp.ingested,
000066,UNSAT,133.329724,0,vnncomp.ingested,
000067,TIMEOUT,360.160854,124,vnncomp.ingested,
000068,TIMEOUT,360.134392,124,vnncomp.ingested,
000069,UNSAT,117.143553,0,vnncomp.ingested,
000070,TIMEOUT,360.141609,124,vnncomp.ingested,
000071,UNSAT,138.241888,0,vnncomp.ingested,
000072,UNSAT,166.623212,0,vnncomp.ingested,
000073,TIMEOUT,360.117845,124,vnncomp.ingested,
000074,UNSAT,143.862513,0,vnncomp.ingested,
000075,UNSAT,147.027405,0,vnncomp.ingested,
000076,TIMEOUT,360.105750,124,vnncomp.ingested,
000077,TIMEOUT,360.119408,124,vnncomp.ingested,
000078,TIMEOUT,360.135036,124,vnncomp.ingested,
000079,TIMEOUT,360.246444,124,vnncomp.ingested,
000080,TIMEOUT,360.158529,124,vnncomp.ingested,
000081,TIMEOUT,360.110523,124,vnncomp.ingested,
000082,TIMEOUT,360.127234,124,vnncomp.ingested,
000083,TIMEOUT,360.163446,124,vnncomp.ingested,
000084,TIMEOUT,360.130842,124,vnncomp.ingested,
000085,TIMEOUT,360.221697,124,vnncomp.ingested,
000086,TIMEOUT,360.136122,124,vnncomp.ingested,
000087,TIMEOUT,360.298031,124,vnncomp.ingested,
000088,TIMEOUT,360.147668,124,vnncomp.ingested,
000089,TIMEOUT,360.202949,124,vnncomp.ingested,
000090,TIMEOUT,360.135157,124,vnncomp.ingested,
