instance_id,status,wall_time_s,rc,construction,seed
vb_oval21_0000,UNSAT,21.024319,0,vnncomp.oval21,
vb_oval21_0001,UNSAT,25.437050,0,vnncomp.oval21,
vb_oval21_0002,UNSAT,11.009008,0,vnncomp.oval21,
vb_oval21_0003,TIMEOUT,360.031411,124,vnncomp.oval21,
vb_oval21_0004,UNSAT,16.751807,0,vnncomp.oval21,
vb_oval21_0005,UNSAT,16.843852,0,vnncomp.oval21,
vb_oval21_0006,UNSAT,54.784971,0,vnncomp.oval21,
vb_oval21_0007,UNSAT,16.492089,0,vnncomp.oval21,
vb_oval21_0008,UNSAT,72.143487,0,vnncomp.oval21,
vb_oval21_0009,UNSAT,271.007378,0,vnncomp.oval21,
vb_oval21_0010,TIMEOUT,360.041862,124,vnncomp.oval21,
vb_oval21_0011,TIMEOUT,360.060508,124,vnncomp.oval21,
vb_oval21_0012,TIMEOUT,360.232456,124,vnncomp.oval21,
vb_oval21_0013,TIMEOUT,360.080053,124,vnncomp.oval21,
vb_oval21_0014,SAT,50.465085,1,vnncomp.oval21,
vb_oval21_0015,TIMEOUT,360.097683,124,vnncomp.oval21,
vb_oval21_0016,TIMEOUT,360.143682,124,vnncomp.oval21,
vb_oval21_0017,UNSAT,139.069234,0,vnncomp.oval21,
vb_oval21_0018,UNSAT,96.805958,0,vnncomp.oval21,
vb_oval21_0019,TIMEOUT,360.538806,124,vnncomp.oval21,
vb_oval21_0020,TIMEOUT,360.556668,124,vnncomp.oval21,
vb_oval21_0021,UNSAT,353.579876,0,vnncomp.oval21,
vb_oval21_0022,TIMEOUT,360.326575,124,vnncomp.oval21,
vb_oval21_0023,TIMEOUT,360.419858,124,vnncomp.oval21,
vb_oval21_0024,TIMEOUT,360.382714,124,vnncomp.oval21,
vb_oval21_0025,UNSAT,262.389339,0,vnncomp.oval21,
vb_oval21_0026,TIMEOUT,360.321702,124,vnncomp.oval21,
vb_oval21_0027,UNSAT,244.518524,0,vnncomp.oval21,
vb_oval21_0028,UNSAT,232.636651,0,vnncomp.oval21,
vb_oval21_0029,TIMEOUT,360.680300,124,vnncomp.oval21,
