instance_id,status,wall_time_s,rc,construction,seed
poly01_easy_N50_d10,UNSAT,9.812873,0,polynomial.algebraic_boundary,101
poly02_easy_d2,UNSAT,8.334462,0,polynomial.algebraic_boundary,102
poly03_easy_d6,UNSAT,7.972292,0,polynomial.algebraic_boundary,103
poly04_easy_d10_h50,UNSAT,7.790596,0,polynomial.algebraic_boundary,104
poly05_easy_d10_h500,UNSAT,7.989378,0,polynomial.algebraic_boundary,105
poly06_deg12,UNSAT,7.613292,0,polynomial.algebraic_boundary,106
poly07_deg14,UNSAT,7.948897,0,polynomial.algebraic_boundary,107
poly08_deg16,UNSAT,8.089885,0,polynomial.algebraic_boundary,108
poly09_deg17,TIMEOUT,600.113356,124,polynomial.algebraic_boundary,109
poly10_deg18_a,UNSAT,9.332949,0,polynomial.algebraic_boundary,110
poly11_deg18_b,UNSAT,9.889344,0,polynomial.algebraic_boundary,111
poly12_deg19_a,TIMEOUT,600.105771,124,polynomial.algebraic_boundary,112
poly13_deg19_b,TIMEOUT,600.122301,124,polynomial.algebraic_boundary,113
poly14_deg20,UNSAT,30.536707,0,polynomial.algebraic_boundary,114
poly15_deg21,TIMEOUT,600.125855,124,polynomial.algebraic_boundary,115
poly16_deg22,UNSAT,34.431846,0,polynomial.algebraic_boundary,116
poly17_delta2e3,UNSAT,34.734203,0,polynomial.algebraic_boundary,117
poly18_delta1e3,UNSAT,32.486877,0,polynomial.algebraic_boundary,118
poly19_delta5e4,UNSAT,33.919849,0,polynomial.algebraic_boundary,119
poly20_delta2e4,UNSAT,34.878502,0,polynomial.algebraic_boundary,120
poly21_delta1e4,TIMEOUT,600.129160,124,polynomial.algebraic_boundary,121
poly22_combo_deg18_delta1e3,TIMEOUT,600.135104,124,polynomial.algebraic_boundary,122
