instance_id,status,wall_time_s,rc,construction,seed
vb_oval21_0000,TIMEOUT,300.758450,0,vnncomp.oval21,
vb_oval21_0001,TIMEOUT,302.260725,0,vnncomp.oval21,
vb_oval21_0002,ERROR,11.840532,0,vnncomp.oval21,
vb_oval21_0003,ERROR,13.575257,0,vnncomp.oval21,
vb_oval21_0004,TIMEOUT,301.667164,0,vnncomp.oval21,
vb_oval21_0005,TIMEOUT,301.035720,0,vnncomp.oval21,
vb_oval21_0006,TIMEOUT,300.536622,0,vnncomp.oval21,
vb_oval21_0007,TIMEOUT,301.075947,0,vnncomp.oval21,
vb_oval21_0008,TIMEOUT,302.600557,0,vnncomp.oval21,
vb_oval21_0009,TIMEOUT,302.697448,0,vnncomp.oval21,
vb_oval21_0010,UNSAT,20.467787,0,vnncomp.oval21,
vb_oval21_0011,UNSAT,20.323648,0,vnncomp.oval21,
vb_oval21_0012,UNSAT,20.254319,0,vnncomp.oval21,
vb_oval21_0013,UNSAT,20.559204,0,vnncomp.oval21,
vb_oval21_0014,UNSAT,20.509960,0,vnncomp.oval21,
vb_oval21_0015,UNSAT,20.662298,0,vnncomp.oval21,
vb_oval21_0016,UNSAT,20.594839,0,vnncomp.oval21,
vb_oval21_0017,UNSAT,19.636887,0,vnncomp.oval21,
vb_oval21_0018,UNSAT,20.126885,0,vnncomp.oval21,
vb_oval21_0019,UNSAT,19.661120,0,vnncomp.oval21,
vb_oval21_0020,UNSAT,1.394354,0,vnncomp.oval21,
vb_oval21_0021,UNSAT,1.395095,0,vnncomp.oval21,
vb_oval21_0022,UNSAT,1.384982,0,vnncomp.oval21,
vb_oval21_0023,UNSAT,1.375269,0,vnncomp.oval21,
vb_oval21_0024,UNSAT,1.376397,0,vnncomp.oval21,
vb_oval21_0025,UNSAT,1.381043,0,vnncomp.oval21,
vb_oval21_0026,UNSAT,1.354363,0,vnncomp.oval21,
vb_oval21_0027,UNSAT,1.400869,0,vnncomp.oval21,
vb_oval21_0028,UNSAT,1.384094,0,vnncomp.oval21,
vb_oval21_0029,UNSAT,1.408124,0,vnncomp.oval21,
