instance_id,status,wall_time_s,rc,construction,seed
poly01_easy_N50_d10,ERROR,0.023469,1,polynomial.algebraic_boundary,101
poly02_easy_d2,ERROR,0.088546,1,polynomial.algebraic_boundary,102
poly03_easy_d6,ERROR,0.047650,1,polynomial.algebraic_boundary,103
poly04_easy_d10_h50,ERROR,0.019813,1,polynomial.algebraic_boundary,104
poly05_easy_d10_h500,ERROR,0.779100,1,polynomial.algebraic_boundary,105
poly06_deg12,ERROR,0.057220,1,polynomial.algebraic_boundary,106
poly07_deg14,ERROR,0.052455,1,polynomial.algebraic_boundary,107
poly08_deg16,ERROR,0.051318,1,polynomial.algebraic_boundary,108
poly09_deg17,ERROR,0.050493,1,polynomial.algebraic_boundary,109
poly10_deg18_a,ERROR,0.039625,1,polynomial.algebraic_boundary,110
poly11_deg18_b,ERROR,0.035609,1,polynomial.algebraic_boundary,111
poly12_deg19_a,ERROR,0.036747,1,polynomial.algebraic_boundary,112
poly13_deg19_b,ERROR,0.035233,1,polynomial.algebraic_boundary,113
poly14_deg20,ERROR,0.035046,1,polynomial.algebraic_boundary,114
poly15_deg21,ERROR,0.037786,1,polynomial.algebraic_boundary,115
poly16_deg22,ERROR,0.051119,1,polynomial.algebraic_boundary,116
poly17_delta2e3,ERROR,0.034550,1,polynomial.algebraic_boundary,117
poly18_delta1e3,ERROR,0.034916,1,polynomial.algebraic_boundary,118
poly19_delta5e4,ERROR,0.034777,1,polynomial.algebraic_boundary,119
poly20_delta2e4,ERROR,0.034722,1,polynomial.algebraic_boundary,120
poly21_delta1e4,ERROR,0.106225,1,polynomial.algebraic_boundary,121
poly22_combo_deg18_delta1e3,ERROR,0.036882,1,polynomial.algebraic_boundary,122
