instance_id,status,wall_time_s,rc,construction,seed
meap1,UNSAT,0.121916,0,mlp_relu.meap,0
meap2,TIMEOUT,600.010382,124,mlp_relu.meap,0
meap3,TIMEOUT,600.016419,124,mlp_relu.meap,0
meap4,TIMEOUT,600.068621,124,mlp_relu.meap,0
meap5,TIMEOUT,600.010611,124,mlp_relu.meap,0
meap6,TIMEOUT,600.011281,124,mlp_relu.meap,0
meap7,TIMEOUT,600.015272,124,mlp_relu.meap,0
meap8,TIMEOUT,600.007419,124,mlp_relu.meap,0
meap9,TIMEOUT,600.009561,124,mlp_relu.meap,0
meap10,TIMEOUT,600.007980,124,mlp_relu.meap,0
meap11,SAT,0.143441,0,mlp_relu.meap,0
meap12,TIMEOUT,600.007480,124,mlp_relu.meap,0
meap13,UNSAT,0.132722,0,mlp_relu.meap,0
meap14,TIMEOUT,600.007069,124,mlp_relu.meap,0
milp1,UNSAT,0.204968,0,mlp_relu.milp.exact_radius,0
milp2,UNSAT,58.747788,0,mlp_relu.milp.exact_radius,0
milp3,UNSAT,119.714637,0,mlp_relu.milp.exact_radius,0
milp4,UNSAT,149.425560,0,mlp_relu.milp.exact_radius,0
milp5,UNSAT,122.411348,0,mlp_relu.milp.exact_radius,0
milp6,UNSAT,139.476718,0,mlp_relu.milp.exact_radius,0
milp7,SAT,4.280876,0,mlp_relu.milp.exact_radius,0
milp8,UNSAT,0.481944,0,mlp_relu.milp.exact_radius,1
milp9,UNSAT,215.649888,0,mlp_relu.milp.exact_radius,1
milp10,UNSAT,540.487202,0,mlp_relu.milp.exact_radius,1
milp11,TIMEOUT,600.006352,124,mlp_relu.milp.exact_radius,1
milp12,TIMEOUT,600.018924,124,mlp_relu.milp.exact_radius,1
milp13,TIMEOUT,600.006120,124,mlp_relu.milp.exact_radius,1
milp14,SAT,82.672827,0,mlp_relu.milp.exact_radius,1
milp15,UNSAT,0.019572,0,mlp_relu.milp.exact_radius,2
milp16,UNSAT,0.801492,0,mlp_relu.milp.exact_radius,2
milp17,UNSAT,2.524588,0,mlp_relu.milp.exact_radius,2
milp18,UNSAT,3.274566,0,mlp_relu.milp.exact_radius,2
milp19,UNSAT,3.387456,0,mlp_relu.milp.exact_radius,2
milp20,SAT,0.993494,0,mlp_relu.milp.exact_radius,2
milp21,SAT,0.729143,0,mlp_relu.milp.exact_radius,2
milp22,UNSAT,0.023596,0,mlp_relu.milp.exact_radius,0
milp23,UNSAT,0.627813,0,mlp_relu.milp.exact_radius,0
milp24,TIMEOUT,600.005652,124,mlp_relu.milp.exact_radius,0
milp25,TIMEOUT,600.008884,124,mlp_relu.milp.exact_radius,0
milp26,TIMEOUT,600.010515,124,mlp_relu.milp.exact_radius,0
milp27,UNSAT,0.238297,0,mlp_relu.milp.exact_radius,1
milp28,UNSAT,1.153614,0,mlp_relu.milp.exact_radius,1
milp29,UNSAT,22.453608,0,mlp_relu.milp.exact_radius,1
milp30,TIMEOUT,600.009916,124,mlp_relu.milp.exact_radius,1
milp31,TIMEOUT,600.009201,124,mlp_relu.milp.exact_radius,1
rc1,UNSAT,0.016383,0,mlp_relu.corners,1
rc2,UNSAT,0.008881,0,mlp_relu.corners,2
rc3,UNSAT,0.009977,0,mlp_relu.corners,
rc4,UNSAT,0.010037,0,mlp_relu.corners,1
rc5,UNSAT,0.010000,0,mlp_relu.corners,2
rc6,UNSAT,0.010061,0,mlp_relu.corners,3
rc7,UNSAT,0.009860,0,mlp_relu.corners,1
rc8,UNSAT,0.009702,0,mlp_relu.corners,2
rc9,UNSAT,0.009903,0,mlp_relu.corners,3
rc10,UNSAT,2.139528,0,mlp_relu.corners,1
rc11,UNSAT,26.714898,0,mlp_relu.corners,2
rc12,TIMEOUT,600.023678,124,mlp_relu.corners,3
rc13,TIMEOUT,600.017992,124,mlp_relu.corners,1
rc14,TIMEOUT,600.012503,124,mlp_relu.corners,2
rc15,TIMEOUT,600.017390,124,mlp_relu.corners,3
rc16,TIMEOUT,600.010884,124,mlp_relu.corners,1
rc17,TIMEOUT,600.007503,124,mlp_relu.corners,2
rc18,TIMEOUT,600.027184,124,mlp_relu.corners,3
rc19,UNSAT,0.014273,0,mlp_relu.corners,1
rc20,TIMEOUT,600.014365,124,mlp_relu.corners,1
rc21,TIMEOUT,600.066249,124,mlp_relu.corners,1
rc22,TIMEOUT,600.378503,124,mlp_relu.corners,1
ep1,UNSAT,5.540465,0,mlp_relu.embedded_projection,0
ep2,UNSAT,5.728117,0,mlp_relu.embedded_projection,0
ep3,UNSAT,5.579731,0,mlp_relu.embedded_projection,0
ep4,UNSAT,5.547302,0,mlp_relu.embedded_projection,0
ep5,UNSAT,5.547126,0,mlp_relu.embedded_projection,0
dc_cnn1,UNSAT,0.646998,0,cnn.deep_contractive_cnn,0
dc_cnn2,UNSAT,1.206133,0,cnn.deep_contractive_cnn,0
dc_cnn3,UNSAT,1.909265,0,cnn.deep_contractive_cnn,0
dc_cnn4,UNSAT,2.598137,0,cnn.deep_contractive_cnn,0
dc_cnn5,UNSAT,3.413461,0,cnn.deep_contractive_cnn,0
dc_cnn6,UNSAT,0.608147,0,cnn.deep_contractive_cnn,1
dc_cnn7,UNSAT,1.216150,0,cnn.deep_contractive_cnn,1
dc_cnn8,UNSAT,1.847655,0,cnn.deep_contractive_cnn,1
dc_cnn9,UNSAT,2.598331,0,cnn.deep_contractive_cnn,1
dc_cnn10,UNSAT,3.380524,0,cnn.deep_contractive_cnn,1
dc_cnn11,UNSAT,1.917288,0,cnn.deep_contractive_cnn,0
dc_cnn12,UNSAT,1.880615,0,cnn.deep_contractive_cnn,0
dc_cnn13,UNSAT,1.881939,0,cnn.deep_contractive_cnn,0
dc_cnn14,UNSAT,1.882582,0,cnn.deep_contractive_cnn,0
dc_cnn15,UNSAT,1.884092,0,cnn.deep_contractive_cnn,0
dc_cnn16,UNSAT,1.922507,0,cnn.deep_contractive_cnn,1
dc_cnn17,UNSAT,1.887359,0,cnn.deep_contractive_cnn,1
dc_cnn18,UNSAT,1.920545,0,cnn.deep_contractive_cnn,1
dc_cnn19,UNSAT,1.875415,0,cnn.deep_contractive_cnn,1
dc_cnn20,UNSAT,1.890315,0,cnn.deep_contractive_cnn,1
dc_cnn21,UNSAT,1.911202,0,cnn.deep_contractive_cnn,0
dc_cnn22,UNSAT,1.872824,0,cnn.deep_contractive_cnn,0
dc_cnn23,UNSAT,1.895573,0,cnn.deep_contractive_cnn,0
dc_cnn24,UNSAT,1.895722,0,cnn.deep_contractive_cnn,0
dc_cnn25,UNSAT,1.908328,0,cnn.deep_contractive_cnn,0
dc_cnn26,UNSAT,1.889006,0,cnn.deep_contractive_cnn,1
dc_cnn27,UNSAT,1.934046,0,cnn.deep_contractive_cnn,1
dc_cnn28,UNSAT,1.910931,0,cnn.deep_contractive_cnn,1
dc_cnn29,UNSAT,1.911993,0,cnn.deep_contractive_cnn,1
dc_cnn30,UNSAT,1.892581,0,cnn.deep_contractive_cnn,1
dc_cnn31,UNSAT,1.871711,0,cnn.deep_contractive_cnn,0
dc_cnn32,UNSAT,1.901284,0,cnn.deep_contractive_cnn,0
dc_cnn33,UNSAT,1.918606,0,cnn.deep_contractive_cnn,0
dc_cnn34,UNSAT,1.880424,0,cnn.deep_contractive_cnn,0
dc_cnn35,UNSAT,1.855430,0,cnn.deep_contractive_cnn,0
dc_cnn36,UNSAT,1.918945,0,cnn.deep_contractive_cnn,1
dc_cnn37,UNSAT,1.879274,0,cnn.deep_contractive_cnn,1
dc_cnn38,UNSAT,1.901618,0,cnn.deep_contractive_cnn,1
dc_cnn39,UNSAT,1.864955,0,cnn.deep_contractive_cnn,1
dc_cnn40,UNSAT,1.914268,0,cnn.deep_contractive_cnn,1
dc_cnn41,UNSAT,0.180865,0,cnn.deep_contractive_cnn,0
dc_cnn42,UNSAT,0.381709,0,cnn.deep_contractive_cnn,0
dc_cnn43,UNSAT,1.835369,0,cnn.deep_contractive_cnn,0
dc_cnn44,UNSAT,13.358487,0,cnn.deep_contractive_cnn,0
dc_cnn45,UNSAT,155.475628,0,cnn.deep_contractive_cnn,0
dc_cnn46,UNSAT,0.143479,0,cnn.deep_contractive_cnn,1
dc_cnn47,UNSAT,0.397974,0,cnn.deep_contractive_cnn,1
dc_cnn48,UNSAT,1.862507,0,cnn.deep_contractive_cnn,1
dc_cnn49,UNSAT,13.625389,0,cnn.deep_contractive_cnn,1
dc_cnn50,UNSAT,149.973154,0,cnn.deep_contractive_cnn,1
pb_cnn_1,UNSAT,0.032530,0,cnn.cnn_paired_bias,0
pb_cnn_2,UNSAT,495.862261,0,cnn.cnn_paired_bias,0
pb_cnn_3,UNSAT,0.149704,0,cnn.cnn_paired_bias,0
pb_cnn_4,TIMEOUT,600.023146,124,cnn.cnn_paired_bias,0
pb_cnn_5,TIMEOUT,600.068763,124,cnn.cnn_paired_bias,0
pb_cnn_6,UNSAT,0.063308,0,cnn.cnn_paired_bias,1
pb_cnn_7,UNSAT,0.081600,0,cnn.cnn_paired_bias,1
pb_cnn_8,UNSAT,0.173899,0,cnn.cnn_paired_bias,1
pb_cnn_9,UNSAT,0.270685,0,cnn.cnn_paired_bias,1
pb_cnn_10,UNSAT,0.886368,0,cnn.cnn_paired_bias,1
pb_cnn_11,UNSAT,0.027538,0,cnn.cnn_paired_bias,0
pb_cnn_12,UNSAT,0.108422,0,cnn.cnn_paired_bias,0
pb_cnn_13,UNSAT,0.153648,0,cnn.cnn_paired_bias,0
pb_cnn_14,TIMEOUT,600.016909,124,cnn.cnn_paired_bias,0
pb_cnn_15,TIMEOUT,600.017258,124,cnn.cnn_paired_bias,0
pb_cnn_16,UNSAT,0.153622,0,cnn.cnn_paired_bias,1
pb_cnn_17,UNSAT,0.167823,0,cnn.cnn_paired_bias,1
pb_cnn_18,UNSAT,0.129859,0,cnn.cnn_paired_bias,1
pb_cnn_19,TIMEOUT,600.007191,124,cnn.cnn_paired_bias,1
pb_cnn_20,TIMEOUT,600.014203,124,cnn.cnn_paired_bias,1
pb_cnn_21,UNSAT,1.272145,0,cnn.cnn_paired_bias,0
pb_cnn_22,UNSAT,1.407030,0,cnn.cnn_paired_bias,0
pb_cnn_23,UNSAT,0.110398,0,cnn.cnn_paired_bias,0
pb_cnn_24,UNSAT,0.130699,0,cnn.cnn_paired_bias,0
pb_cnn_25,UNSAT,0.113153,0,cnn.cnn_paired_bias,0
pb_cnn_26,UNSAT,0.159651,0,cnn.cnn_paired_bias,1
pb_cnn_27,UNSAT,0.110830,0,cnn.cnn_paired_bias,1
pb_cnn_28,UNSAT,0.168479,0,cnn.cnn_paired_bias,1
pb_cnn_29,UNSAT,0.107743,0,cnn.cnn_paired_bias,1
pb_cnn_30,UNSAT,0.143222,0,cnn.cnn_paired_bias,1
pb_cnn_31,UNSAT,0.089374,0,cnn.cnn_paired_bias,0
