instance_id,status,wall_time_s,rc,construction,seed
000001,UNSAT,138.226668,0,vnncomp.ingested,
000002,TIMEOUT,241.749616,124,vnncomp.ingested,
000003,TIMEOUT,241.676501,124,vnncomp.ingested,
000004,UNSAT,91.002115,0,vnncomp.ingested,
000005,UNSAT,164.973485,0,vnncomp.ingested,
000006,UNSAT,110.232212,0,vnncomp.ingested,
000007,TIMEOUT,241.207682,124,vnncomp.ingested,
000008,UNSAT,121.528188,0,vnncomp.ingested,
000009,UNSAT,140.806604,0,vnncomp.ingested,
000010,UNSAT,85.175617,0,vnncomp.ingested,
000011,UNSAT,146.548818,0,vnncomp.ingested,
000012,UNSAT,128.701190,0,vnncomp.ingested,
000013,SAT,88.154201,0,vnncomp.ingested,
000014,UNSAT,100.537914,0,vnncomp.ingested,
000015,UNSAT,148.120121,0,vnncomp.ingested,
000016,SAT,80.207163,0,vnncomp.ingested,
000017,SAT,53.272347,0,vnncomp.ingested,
000018,SAT,97.152690,0,vnncomp.ingested,
000019,UNSAT,172.088427,0,vnncomp.ingested,
000020,TIMEOUT,242.422307,124,vnncomp.ingested,
000021,SAT,95.307248,0,vnncomp.ingested,
000022,SAT,103.392211,0,vnncomp.ingested,
000023,UNSAT,110.866205,0,vnncomp.ingested,
000024,SAT,109.424604,0,vnncomp.ingested,
000025,TIMEOUT,241.013469,124,vnncomp.ingested,
000026,TIMEOUT,241.581137,124,vnncomp.ingested,
000027,TIMEOUT,240.380359,124,vnncomp.ingested,
000028,SAT,92.751882,0,vnncomp.ingested,
000029,UNSAT,221.017893,0,vnncomp.ingested,
000030,UNSAT,192.721750,0,vnncomp.ingested,
000031,UNSAT,167.875340,0,vnncomp.ingested,
000032,TIMEOUT,241.478567,124,vnncomp.ingested,
000033,TIMEOUT,242.345860,124,vnncomp.ingested,
000034,UNSAT,204.887945,0,vnncomp.ingested,
000035,UNSAT,166.064929,0,vnncomp.ingested,
000036,UNSAT,170.179781,0,vnncomp.ingested,
000037,TIMEOUT,241.190948,124,vnncomp.ingested,
000038,UNSAT,139.398800,0,vnncomp.ingested,
000039,TIMEOUT,246.783491,124,vnncomp.ingested,
000040,UNSAT,163.658804,0,vnncomp.ingested,
000041,UNSAT,152.207903,0,vnncomp.ingested,
000042,UNSAT,121.915126,0,vnncomp.ingested,
000043,UNSAT,159.448663,0,vnncomp.ingested,
000044,UNSAT,161.681402,0,vnncomp.ingested,
000045,UNSAT,154.942453,0,vnncomp.ingested,
000046,TIMEOUT,242.279725,124,vnncomp.ingested,
000047,SAT,89.828489,0,vnncomp.ingested,
000048,TIMEOUT,240.304983,124,vnncomp.ingested,
000049,TIMEOUT,241.046299,124,vnncomp.ingested,
000050,TIMEOUT,240.458788,124,vnncomp.ingested,
000051,TIMEOUT,240.923358,124,vnncomp.ingested,
000052,SAT,130.214551,0,vnncomp.ingested,
000053,TIMEOUT,241.738373,124,vnncomp.ingested,
000054,TIMEOUT,242.599259,124,vnncomp.ingested,
000055,TIMEOUT,241.430888,124,vnncomp.ingested,
000056,TIMEOUT,241.287130,124,vnncomp.ingested,
000057,TIMEOUT,241.859336,124,vnncomp.ingested,
000058,TIMEOUT,241.403086,124,vnncomp.ingested,
000059,TIMEOUT,241.263130,124,vnncomp.ingested,
000060,TIMEOUT,241.115343,124,vnncomp.ingested,
000061,UNSAT,124.977923,0,vnncomp.ingested,
000062,TIMEOUT,241.230668,124,vnncomp.ingested,
000063,TIMEOUT,241.194916,124,vnncomp.ingested,
000064,UNSAT,140.956965,0,vnncomp.ingested,
000065,UNSAT,163.026254,0,vnncomp.ingested,
000066,UNSAT,203.657105,0,vnncomp.ingested,
000067,SAT,76.796575,0,vnncomp.ingested,
000068,TIMEOUT,241.497080,124,vnncomp.ingested,
000069,UNSAT,187.575796,0,vnncomp.ingested,
000070,TIMEOUT,242.274591,124,vnncomp.ingested,
000071,UNSAT,154.528723,0,vnncomp.ingested,
000072,UNSAT,152.930806,0,vnncomp.ingested,
000073,TIMEOUT,241.240117,124,vnncomp.ingested,
000074,UNSAT,180.170995,0,vnncomp.ingested,
000075,UNSAT,186.490844,0,vnncomp.ingested,
000076,TIMEOUT,240.774589,124,vnncomp.ingested,
000077,TIMEOUT,241.714115,124,vnncomp.ingested,
000078,TIMEOUT,240.534086,124,vnncomp.ingested,
000079,TIMEOUT,240.695363,124,vnncomp.ingested,
000080,TIMEOUT,241.528330,124,vnncomp.ingested,
000081,TIMEOUT,240.922881,124,vnncomp.ingested,
000082,SAT,97.987468,0,vnncomp.ingested,
000083,TIMEOUT,241.446321,124,vnncomp.ingested,
000084,TIMEOUT,241.335426,124,vnncomp.ingested,
000085,TIMEOUT,240.751547,124,vnncomp.ingested,
000086,TIMEOUT,241.103106,124,vnncomp.ingested,
000087,TIMEOUT,241.031107,124,vnncomp.ingested,
000088,TIMEOUT,241.594944,124,vnncomp.ingested,
000089,TIMEOUT,241.227350,124,vnncomp.ingested,
000090,TIMEOUT,240.743395,124,vnncomp.ingested,
