instance_id,status,wall_time_s,rc,construction,seed
vb_oval21_0000,UNSAT,35.305699,0,vnncomp.oval21,
vb_oval21_0001,UNSAT,42.023925,0,vnncomp.oval21,
vb_oval21_0002,UNSAT,26.901178,0,vnncomp.oval21,
vb_oval21_0003,UNKNOWN,308.826129,1,vnncomp.oval21,
vb_oval21_0004,UNSAT,25.434892,0,vnncomp.oval21,
vb_oval21_0005,UNSAT,28.882936,0,vnncomp.oval21,
vb_oval21_0006,UNSAT,48.938867,0,vnncomp.oval21,
vb_oval21_0007,UNSAT,26.630420,0,vnncomp.oval21,
vb_oval21_0008,UNSAT,62.156415,0,vnncomp.oval21,
vb_oval21_0009,UNSAT,181.751569,0,vnncomp.oval21,
vb_oval21_0010,TIMEOUT,360.010269,124,vnncomp.oval21,
vb_oval21_0011,TIMEOUT,360.019748,124,vnncomp.oval21,
vb_oval21_0012,UNSAT,189.292346,0,vnncomp.oval21,
vb_oval21_0013,TIMEOUT,360.014414,124,vnncomp.oval21,
vb_oval21_0014,SAT,4.125703,0,vnncomp.oval21,
vb_oval21_0015,TIMEOUT,360.013193,124,vnncomp.oval21,
vb_oval21_0016,TIMEOUT,360.014790,124,vnncomp.oval21,
vb_oval21_0017,UNSAT,35.097937,0,vnncomp.oval21,
vb_oval21_0018,UNSAT,22.670961,0,vnncomp.oval21,
vb_oval21_0019,UNKNOWN,335.714256,1,vnncomp.oval21,
vb_oval21_0020,TIMEOUT,360.027094,124,vnncomp.oval21,
vb_oval21_0021,UNSAT,46.821065,0,vnncomp.oval21,
vb_oval21_0022,TIMEOUT,360.016667,124,vnncomp.oval21,
vb_oval21_0023,UNSAT,119.416598,0,vnncomp.oval21,
vb_oval21_0024,TIMEOUT,360.028126,124,vnncomp.oval21,
vb_oval21_0025,UNSAT,36.743609,0,vnncomp.oval21,
vb_oval21_0026,TIMEOUT,360.015406,124,vnncomp.oval21,
vb_oval21_0027,UNSAT,30.310897,0,vnncomp.oval21,
vb_oval21_0028,UNSAT,24.620256,0,vnncomp.oval21,
vb_oval21_0029,UNSAT,122.156497,0,vnncomp.oval21,
