instance_id,status,wall_time_s,rc,construction,seed
poly01_easy_N50_d10,UNSAT,39.083494,0,polynomial.algebraic_boundary,101
poly02_easy_d2,ERROR,33.961132,1,polynomial.algebraic_boundary,102
poly03_easy_d6,UNSAT,34.268463,0,polynomial.algebraic_boundary,103
poly04_easy_d10_h50,UNSAT,37.737556,0,polynomial.algebraic_boundary,104
poly05_easy_d10_h500,UNSAT,43.593437,0,polynomial.algebraic_boundary,105
poly06_deg12,UNSAT,37.166771,0,polynomial.algebraic_boundary,106
poly07_deg14,UNSAT,45.653132,0,polynomial.algebraic_boundary,107
poly08_deg16,UNSAT,38.134563,0,polynomial.algebraic_boundary,108
poly09_deg17,TIMEOUT,600.361632,124,polynomial.algebraic_boundary,109
poly10_deg18_a,UNSAT,41.752147,0,polynomial.algebraic_boundary,110
poly11_deg18_b,UNSAT,42.294604,0,polynomial.algebraic_boundary,111
poly12_deg19_a,TIMEOUT,600.415745,124,polynomial.algebraic_boundary,112
poly13_deg19_b,TIMEOUT,600.371669,124,polynomial.algebraic_boundary,113
poly14_deg20,UNSAT,41.201578,0,polynomial.algebraic_boundary,114
poly15_deg21,TIMEOUT,600.388116,124,polynomial.algebraic_boundary,115
poly16_deg22,UNSAT,44.971544,0,polynomial.algebraic_boundary,116
poly17_delta2e3,UNKNOWN,306.285726,1,polynomial.algebraic_boundary,117
poly18_delta1e3,UNKNOWN,191.254539,1,polynomial.algebraic_boundary,118
poly19_delta5e4,TIMEOUT,600.430362,124,polynomial.algebraic_boundary,119
poly20_delta2e4,UNKNOWN,155.915416,1,polynomial.algebraic_boundary,120
poly21_delta1e4,UNKNOWN,167.244604,1,polynomial.algebraic_boundary,121
poly22_combo_deg18_delta1e3,UNKNOWN,62.180861,0,polynomial.algebraic_boundary,122
