instance_id,status,wall_time_s,rc,construction,seed
meap1,UNSAT,211.502042,0,mlp_relu.meap,0
meap2,TIMEOUT,600.677641,124,mlp_relu.meap,0
meap3,TIMEOUT,600.610966,124,mlp_relu.meap,0
meap4,TIMEOUT,600.798919,124,mlp_relu.meap,0
meap5,TIMEOUT,600.670834,124,mlp_relu.meap,0
meap6,TIMEOUT,600.647105,124,mlp_relu.meap,0
meap7,TIMEOUT,600.754925,124,mlp_relu.meap,0
meap8,UNSAT,498.107109,0,mlp_relu.meap,0
meap9,UNSAT,491.700308,0,mlp_relu.meap,0
meap10,UNSAT,488.292220,0,mlp_relu.meap,0
meap11,TIMEOUT,600.768621,124,mlp_relu.meap,0
meap12,UNSAT,479.203103,0,mlp_relu.meap,0
meap13,UNSAT,175.200377,0,mlp_relu.meap,0
meap14,TIMEOUT,600.772228,124,mlp_relu.meap,0
milp1,UNSAT,82.730892,0,mlp_relu.milp.exact_radius,0
milp2,UNSAT,73.528879,0,mlp_relu.milp.exact_radius,0
milp3,UNSAT,88.283277,0,mlp_relu.milp.exact_radius,0
milp4,UNSAT,89.845737,0,mlp_relu.milp.exact_radius,0
milp5,UNSAT,91.649862,0,mlp_relu.milp.exact_radius,0
milp6,UNSAT,76.037879,0,mlp_relu.milp.exact_radius,0
milp7,SAT,34.437888,0,mlp_relu.milp.exact_radius,0
milp8,UNSAT,84.271659,0,mlp_relu.milp.exact_radius,1
milp9,UNSAT,85.221910,0,mlp_relu.milp.exact_radius,1
milp10,UNSAT,86.125956,0,mlp_relu.milp.exact_radius,1
milp11,UNSAT,81.673759,0,mlp_relu.milp.exact_radius,1
milp12,UNSAT,91.932191,0,mlp_relu.milp.exact_radius,1
milp13,UNSAT,543.135477,0,mlp_relu.milp.exact_radius,1
milp14,UNKNOWN,89.516169,1,mlp_relu.milp.exact_radius,1
milp15,UNSAT,81.715545,0,mlp_relu.milp.exact_radius,2
milp16,UNSAT,86.686232,0,mlp_relu.milp.exact_radius,2
milp17,UNSAT,84.581852,0,mlp_relu.milp.exact_radius,2
milp18,UNSAT,72.785812,0,mlp_relu.milp.exact_radius,2
milp19,UNSAT,71.333913,0,mlp_relu.milp.exact_radius,2
milp20,UNSAT,85.277923,0,mlp_relu.milp.exact_radius,2
milp21,UNSAT,70.225517,0,mlp_relu.milp.exact_radius,2
milp22,UNSAT,67.550359,0,mlp_relu.milp.exact_radius,0
milp23,UNSAT,86.665730,0,mlp_relu.milp.exact_radius,0
milp24,UNSAT,145.898158,0,mlp_relu.milp.exact_radius,0
milp25,TIMEOUT,601.025865,124,mlp_relu.milp.exact_radius,0
milp26,SAT,23.855293,124,mlp_relu.milp.exact_radius,0
milp27,UNSAT,73.182618,0,mlp_relu.milp.exact_radius,1
milp28,UNSAT,74.658188,0,mlp_relu.milp.exact_radius,1
milp29,UNSAT,72.701499,0,mlp_relu.milp.exact_radius,1
milp30,UNSAT,210.448717,0,mlp_relu.milp.exact_radius,1
milp31,UNSAT,193.795144,0,mlp_relu.milp.exact_radius,1
rc1,UNSAT,70.717749,0,mlp_relu.corners,1
rc2,UNSAT,83.714479,0,mlp_relu.corners,2
rc3,UNSAT,71.022025,0,mlp_relu.corners,
rc4,UNSAT,68.014051,0,mlp_relu.corners,1
rc5,UNSAT,68.577877,0,mlp_relu.corners,2
rc6,UNSAT,83.566180,0,mlp_relu.corners,3
rc7,UNSAT,82.237923,0,mlp_relu.corners,1
rc8,UNSAT,67.058203,0,mlp_relu.corners,2
rc9,UNSAT,68.910075,0,mlp_relu.corners,3
rc10,UNSAT,95.974001,0,mlp_relu.corners,1
rc11,UNSAT,120.069540,0,mlp_relu.corners,2
rc12,UNSAT,96.953596,0,mlp_relu.corners,3
rc13,UNSAT,100.284777,0,mlp_relu.corners,1
rc14,UNSAT,125.717530,0,mlp_relu.corners,2
rc15,UNSAT,98.077709,0,mlp_relu.corners,3
rc16,UNSAT,124.125304,0,mlp_relu.corners,1
rc17,UNSAT,123.245469,0,mlp_relu.corners,2
rc18,UNSAT,121.865843,0,mlp_relu.corners,3
rc19,UNSAT,68.269599,0,mlp_relu.corners,1
rc20,TIMEOUT,600.777810,124,mlp_relu.corners,1
rc21,TIMEOUT,600.547102,124,mlp_relu.corners,1
rc22,TIMEOUT,600.562752,124,mlp_relu.corners,1
ep1,UNKNOWN,56.311234,0,mlp_relu.embedded_projection,0
ep2,UNKNOWN,59.309993,0,mlp_relu.embedded_projection,0
ep3,UNKNOWN,58.940041,0,mlp_relu.embedded_projection,0
ep4,UNKNOWN,45.855815,0,mlp_relu.embedded_projection,0
ep5,UNKNOWN,47.973894,0,mlp_relu.embedded_projection,0
dc_cnn1,UNSAT,123.585746,0,cnn.deep_contractive_cnn,0
dc_cnn2,UNSAT,195.414383,0,cnn.deep_contractive_cnn,0
dc_cnn3,UNSAT,216.060629,0,cnn.deep_contractive_cnn,0
dc_cnn4,UNSAT,299.427068,0,cnn.deep_contractive_cnn,0
dc_cnn5,UNSAT,535.078007,0,cnn.deep_contractive_cnn,0
dc_cnn6,UNSAT,96.729939,0,cnn.deep_contractive_cnn,1
dc_cnn7,UNSAT,145.662647,0,cnn.deep_contractive_cnn,1
dc_cnn8,UNSAT,217.808871,0,cnn.deep_contractive_cnn,1
dc_cnn9,UNSAT,284.086065,0,cnn.deep_contractive_cnn,1
dc_cnn10,UNSAT,411.001620,0,cnn.deep_contractive_cnn,1
dc_cnn11,UNSAT,232.502259,0,cnn.deep_contractive_cnn,0
dc_cnn12,UNSAT,244.330634,0,cnn.deep_contractive_cnn,0
dc_cnn13,UNSAT,244.354140,0,cnn.deep_contractive_cnn,0
