instance_id,status,wall_time_s,rc,construction,seed
poly01_easy_N50_d10,ERROR,7.721998,1,polynomial.algebraic_boundary,101
poly02_easy_d2,ERROR,7.848092,1,polynomial.algebraic_boundary,102
poly03_easy_d6,ERROR,6.876435,1,polynomial.algebraic_boundary,103
poly04_easy_d10_h50,ERROR,5.625495,1,polynomial.algebraic_boundary,104
poly05_easy_d10_h500,ERROR,7.169595,1,polynomial.algebraic_boundary,105
poly06_deg12,ERROR,6.807283,1,polynomial.algebraic_boundary,106
poly07_deg14,ERROR,6.834636,1,polynomial.algebraic_boundary,107
poly08_deg16,ERROR,7.121256,1,polynomial.algebraic_boundary,108
poly09_deg17,ERROR,7.104941,1,polynomial.algebraic_boundary,109
poly10_deg18_a,ERROR,7.227013,1,polynomial.algebraic_boundary,110
poly11_deg18_b,ERROR,6.222587,1,polynomial.algebraic_boundary,111
poly12_deg19_a,ERROR,7.467589,1,polynomial.algebraic_boundary,112
poly13_deg19_b,ERROR,6.801124,1,polynomial.algebraic_boundary,113
poly14_deg20,ERROR,8.210921,1,polynomial.algebraic_boundary,114
poly15_deg21,ERROR,6.940727,1,polynomial.algebraic_boundary,115
poly16_deg22,ERROR,5.885462,1,polynomial.algebraic_boundary,116
poly17_delta2e3,ERROR,7.598219,1,polynomial.algebraic_boundary,117
poly18_delta1e3,ERROR,7.981725,1,polynomial.algebraic_boundary,118
poly19_delta5e4,ERROR,7.548986,1,polynomial.algebraic_boundary,119
poly20_delta2e4,ERROR,7.771177,1,polynomial.algebraic_boundary,120
poly21_delta1e4,ERROR,8.088974,1,polynomial.algebraic_boundary,121
poly22_combo_deg18_delta1e3,ERROR,6.734060,1,polynomial.algebraic_boundary,122
