Running analysis with 1 processes, domains = ['con_z'], scorer = better

Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 0, Remaining: 0
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 0, Remaining: 0
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 1, Remaining: 2
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 1, Remaining: 2
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 2, Remaining: 3
Safe_volume: 0.0000% |                              | Time: 00:02 s, Done: 2, Remaining: 3
Safe_volume: 0.0000% |                              | Time: 00:02 s, Done: 3, Remaining: 4
Safe_volume: 0.0000% |                              | Time: 00:02 s, Done: 3, Remaining: 4
Safe_volume: 0.0000% |                              | Time: 00:02 s, Done: 4, Remaining: 5
Safe_volume: 0.0000% |                              | Time: 00:02 s, Done: 4, Remaining: 5
Safe_volume: 0.0000% |                              | Time: 00:02 s, Done: 5, Remaining: 6
Safe_volume: 0.0000% |                              | Time: 00:03 s, Done: 5, Remaining: 6
Safe_volume: 0.0000% |                              | Time: 00:03 s, Done: 6, Remaining: 7
Safe_volume: 0.0000% |                              | Time: 00:03 s, Done: 6, Remaining: 7
Safe_volume: 0.0000% |                              | Time: 00:03 s, Done: 7, Remaining: 8
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 7, Remaining: 8
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 8, Remaining: 9
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 8, Remaining: 9
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 9, Remaining: 10
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 9, Remaining: 10
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 10, Remaining: 11
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 10, Remaining: 11
Safe_volume: 0.0000% |                              | Time: 00:04 s, Done: 11, Remaining: 12
Safe_volume: 0.0000% |                              | Time: 00:05 s, Done: 11, Remaining: 12
Safe_volume: 0.0000% |                              | Time: 00:05 s, Done: 12, Remaining: 13
Safe_volume: 0.0000% |                              | Time: 00:05 s, Done: 12, Remaining: 13
