instance_id,status,wall_time_s,rc,construction,seed
000001,UNSAT,6.195264,0,vnncomp.ingested,
000002,UNKNOWN,57.913355,0,vnncomp.ingested,
000003,UNKNOWN,18.348485,0,vnncomp.ingested,
000004,UNSAT,4.963423,0,vnncomp.ingested,
000005,UNSAT,4.277164,0,vnncomp.ingested,
000006,UNSAT,6.336613,0,vnncomp.ingested,
000007,UNSAT,8.153459,0,vnncomp.ingested,
000008,UNSAT,7.749373,0,vnncomp.ingested,
000009,UNSAT,5.693139,0,vnncomp.ingested,
000010,UNSAT,7.956985,0,vnncomp.ingested,
000011,UNSAT,5.514505,0,vnncomp.ingested,
000012,UNSAT,8.061088,0,vnncomp.ingested,
000013,SAT,27.832062,0,vnncomp.ingested,
000014,UNSAT,6.866101,0,vnncomp.ingested,
000015,UNSAT,6.226670,0,vnncomp.ingested,
000016,TIMEOUT,360.037600,124,vnncomp.ingested,
000017,TIMEOUT,360.029634,124,vnncomp.ingested,
000018,TIMEOUT,360.014157,124,vnncomp.ingested,
000019,UNSAT,5.600763,0,vnncomp.ingested,
000020,TIMEOUT,360.016428,124,vnncomp.ingested,
000021,TIMEOUT,360.031099,124,vnncomp.ingested,
000022,TIMEOUT,360.032502,124,vnncomp.ingested,
000023,UNSAT,4.316710,0,vnncomp.ingested,
000024,TIMEOUT,360.017697,124,vnncomp.ingested,
000025,UNSAT,4.657520,0,vnncomp.ingested,
000026,UNKNOWN,34.325799,0,vnncomp.ingested,
000027,UNSAT,4.466316,0,vnncomp.ingested,
000028,SAT,27.869501,0,vnncomp.ingested,
000029,UNSAT,3.863920,0,vnncomp.ingested,
000030,UNSAT,3.712698,0,vnncomp.ingested,
000031,UNSAT,3.541019,0,vnncomp.ingested,
000032,TIMEOUT,360.025688,124,vnncomp.ingested,
000033,UNSAT,4.445108,0,vnncomp.ingested,
000034,UNSAT,3.180696,0,vnncomp.ingested,
000035,UNSAT,3.042328,0,vnncomp.ingested,
000036,UNSAT,3.498326,0,vnncomp.ingested,
000037,TIMEOUT,360.052268,124,vnncomp.ingested,
000038,UNSAT,4.157432,0,vnncomp.ingested,
000039,UNSAT,9.229892,0,vnncomp.ingested,
000040,UNSAT,4.399354,0,vnncomp.ingested,
000041,UNSAT,3.729925,0,vnncomp.ingested,
000042,UNSAT,3.784588,0,vnncomp.ingested,
000043,UNSAT,4.397850,0,vnncomp.ingested,
000044,UNSAT,3.966169,0,vnncomp.ingested,
000045,UNSAT,3.888478,0,vnncomp.ingested,
000046,UNSAT,189.990774,0,vnncomp.ingested,
000047,TIMEOUT,360.029282,124,vnncomp.ingested,
000048,TIMEOUT,360.027113,124,vnncomp.ingested,
000049,UNSAT,7.328031,0,vnncomp.ingested,
000050,TIMEOUT,360.024429,124,vnncomp.ingested,
000051,ERROR,6.904226,1,vnncomp.ingested,
000052,TIMEOUT,360.023620,124,vnncomp.ingested,
000053,TIMEOUT,360.101655,124,vnncomp.ingested,
000054,TIMEOUT,360.040798,124,vnncomp.ingested,
000055,TIMEOUT,360.042259,124,vnncomp.ingested,
000056,UNSAT,108.555101,0,vnncomp.ingested,
000057,UNSAT,22.524043,0,vnncomp.ingested,
000058,TIMEOUT,360.039381,124,vnncomp.ingested,
000059,TIMEOUT,360.038838,124,vnncomp.ingested,
000060,ERROR,6.109069,1,vnncomp.ingested,
000061,UNSAT,4.572654,0,vnncomp.ingested,
000062,TIMEOUT,360.034320,124,vnncomp.ingested,
000063,UNSAT,4.737561,0,vnncomp.ingested,
000064,UNSAT,3.395646,0,vnncomp.ingested,
000065,UNSAT,3.456369,0,vnncomp.ingested,
000066,UNSAT,3.817544,0,vnncomp.ingested,
000067,TIMEOUT,360.039196,124,vnncomp.ingested,
000068,UNSAT,10.506708,0,vnncomp.ingested,
000069,UNSAT,4.057217,0,vnncomp.ingested,
000070,TIMEOUT,360.042869,124,vnncomp.ingested,
000071,UNSAT,4.576155,0,vnncomp.ingested,
000072,UNSAT,3.409727,0,vnncomp.ingested,
000073,UNSAT,4.193941,0,vnncomp.ingested,
000074,UNSAT,3.838225,0,vnncomp.ingested,
000075,UNSAT,4.113887,0,vnncomp.ingested,
000076,TIMEOUT,360.040143,124,vnncomp.ingested,
000077,TIMEOUT,360.039555,124,vnncomp.ingested,
000078,TIMEOUT,360.038829,124,vnncomp.ingested,
000079,TIMEOUT,360.052862,124,vnncomp.ingested,
000080,TIMEOUT,360.041230,124,vnncomp.ingested,
000081,TIMEOUT,360.043658,124,vnncomp.ingested,
000082,TIMEOUT,360.044161,124,vnncomp.ingested,
000083,TIMEOUT,360.044513,124,vnncomp.ingested,
000084,TIMEOUT,360.042007,124,vnncomp.ingested,
000085,TIMEOUT,360.005879,124,vnncomp.ingested,
000086,TIMEOUT,360.033217,124,vnncomp.ingested,
000087,TIMEOUT,360.034558,124,vnncomp.ingested,
000088,TIMEOUT,360.036581,124,vnncomp.ingested,
000089,TIMEOUT,360.035199,124,vnncomp.ingested,
000090,TIMEOUT,446.041731,124,vnncomp.ingested,
