instance_id,status,wall_time_s,rc,construction,seed
poly01_easy_N50_d10,TIMEOUT,639.639849,0,polynomial.algebraic_boundary,101
poly02_easy_d2,TIMEOUT,632.418010,0,polynomial.algebraic_boundary,102
poly03_easy_d6,TIMEOUT,630.910339,0,polynomial.algebraic_boundary,103
poly04_easy_d10_h50,TIMEOUT,630.694024,0,polynomial.algebraic_boundary,104
poly05_easy_d10_h500,TIMEOUT,631.927524,0,polynomial.algebraic_boundary,105
poly06_deg12,TIMEOUT,635.230469,0,polynomial.algebraic_boundary,106
poly07_deg14,TIMEOUT,630.989905,0,polynomial.algebraic_boundary,107
poly08_deg16,TIMEOUT,630.822859,0,polynomial.algebraic_boundary,108
poly09_deg17,TIMEOUT,631.429200,0,polynomial.algebraic_boundary,109
poly10_deg18_a,TIMEOUT,631.484380,0,polynomial.algebraic_boundary,110
poly11_deg18_b,TIMEOUT,634.562634,0,polynomial.algebraic_boundary,111
poly12_deg19_a,TIMEOUT,633.557374,0,polynomial.algebraic_boundary,112
poly13_deg19_b,TIMEOUT,631.026065,0,polynomial.algebraic_boundary,113
poly14_deg20,TIMEOUT,634.266285,0,polynomial.algebraic_boundary,114
poly15_deg21,TIMEOUT,632.790555,0,polynomial.algebraic_boundary,115
poly16_deg22,TIMEOUT,633.366745,0,polynomial.algebraic_boundary,116
poly17_delta2e3,TIMEOUT,630.895669,0,polynomial.algebraic_boundary,117
poly18_delta1e3,TIMEOUT,630.930599,0,polynomial.algebraic_boundary,118
poly19_delta5e4,TIMEOUT,630.809011,0,polynomial.algebraic_boundary,119
poly20_delta2e4,TIMEOUT,631.434636,0,polynomial.algebraic_boundary,120
poly21_delta1e4,TIMEOUT,634.170291,0,polynomial.algebraic_boundary,121
poly22_combo_deg18_delta1e3,TIMEOUT,631.152471,0,polynomial.algebraic_boundary,122
