instance_id,status,wall_time_s,rc,construction,seed
meap1,UNSAT,19.037955,0,mlp_relu.meap,0
meap2,UNSAT,18.941075,0,mlp_relu.meap,0
meap3,UNSAT,22.915367,0,mlp_relu.meap,0
meap4,UNSAT,167.748441,0,mlp_relu.meap,0
meap5,UNSAT,6.254603,0,mlp_relu.meap,0
meap6,UNSAT,6.367303,0,mlp_relu.meap,0
meap7,UNSAT,7.119869,0,mlp_relu.meap,0
meap8,UNSAT,7.322766,0,mlp_relu.meap,0
meap9,UNSAT,7.554127,0,mlp_relu.meap,0
meap10,UNSAT,7.148808,0,mlp_relu.meap,0
meap11,UNSAT,7.369239,0,mlp_relu.meap,0
meap12,UNSAT,7.294471,0,mlp_relu.meap,0
meap13,UNSAT,4.658836,0,mlp_relu.meap,0
meap14,UNSAT,6.022544,0,mlp_relu.meap,0
milp1,UNSAT,4.206479,0,mlp_relu.milp.exact_radius,0
milp2,UNSAT,6.533925,0,mlp_relu.milp.exact_radius,0
milp3,UNSAT,11.663242,0,mlp_relu.milp.exact_radius,0
milp4,UNSAT,17.019423,0,mlp_relu.milp.exact_radius,0
milp5,UNKNOWN,14.754534,0,mlp_relu.milp.exact_radius,0
milp6,UNKNOWN,13.789662,0,mlp_relu.milp.exact_radius,0
milp7,UNKNOWN,15.885180,0,mlp_relu.milp.exact_radius,0
milp8,UNSAT,6.421873,0,mlp_relu.milp.exact_radius,1
milp9,UNSAT,24.205365,0,mlp_relu.milp.exact_radius,1
milp10,UNSAT,39.137108,0,mlp_relu.milp.exact_radius,1
milp11,UNKNOWN,31.835386,0,mlp_relu.milp.exact_radius,1
milp12,UNKNOWN,32.313075,0,mlp_relu.milp.exact_radius,1
milp13,UNKNOWN,32.010911,0,mlp_relu.milp.exact_radius,1
milp14,UNKNOWN,32.186130,0,mlp_relu.milp.exact_radius,1
milp15,UNSAT,3.787421,0,mlp_relu.milp.exact_radius,2
milp16,UNSAT,4.160042,0,mlp_relu.milp.exact_radius,2
milp17,UNSAT,5.149338,0,mlp_relu.milp.exact_radius,2
milp18,UNSAT,6.411559,0,mlp_relu.milp.exact_radius,2
milp19,UNSAT,6.337689,0,mlp_relu.milp.exact_radius,2
milp20,UNSAT,6.827812,0,mlp_relu.milp.exact_radius,2
milp21,UNKNOWN,6.345616,0,mlp_relu.milp.exact_radius,2
milp22,UNSAT,3.800097,0,mlp_relu.milp.exact_radius,0
milp23,UNSAT,4.449492,0,mlp_relu.milp.exact_radius,0
milp24,UNSAT,115.177071,0,mlp_relu.milp.exact_radius,0
milp25,TIMEOUT,600.017871,124,mlp_relu.milp.exact_radius,0
milp26,TIMEOUT,600.030609,124,mlp_relu.milp.exact_radius,0
milp27,UNSAT,5.065708,0,mlp_relu.milp.exact_radius,1
milp28,UNKNOWN,14.805612,0,mlp_relu.milp.exact_radius,1
milp29,UNSAT,7.307383,0,mlp_relu.milp.exact_radius,1
milp30,TIMEOUT,600.024113,124,mlp_relu.milp.exact_radius,1
milp31,UNSAT,99.192390,0,mlp_relu.milp.exact_radius,1
rc1,UNSAT,14.396324,0,mlp_relu.corners,1
rc2,UNSAT,10.908435,0,mlp_relu.corners,2
rc3,UNSAT,14.432900,0,mlp_relu.corners,
rc4,UNSAT,13.935913,0,mlp_relu.corners,1
rc5,UNSAT,14.020295,0,mlp_relu.corners,2
rc6,UNSAT,5.518283,0,mlp_relu.corners,3
rc7,UNSAT,4.716280,0,mlp_relu.corners,1
rc8,UNSAT,4.542710,0,mlp_relu.corners,2
rc9,UNSAT,11.992417,0,mlp_relu.corners,3
rc10,UNSAT,18.328170,0,mlp_relu.corners,1
rc11,UNSAT,19.473314,0,mlp_relu.corners,2
rc12,UNSAT,9.649410,0,mlp_relu.corners,3
rc13,UNSAT,21.400757,0,mlp_relu.corners,1
rc14,UNSAT,21.282333,0,mlp_relu.corners,2
rc15,UNSAT,13.641864,0,mlp_relu.corners,3
rc16,UNSAT,20.134303,0,mlp_relu.corners,1
rc17,UNSAT,12.861199,0,mlp_relu.corners,2
rc18,UNSAT,22.218994,0,mlp_relu.corners,3
rc19,UNSAT,5.371752,0,mlp_relu.corners,1
rc20,TIMEOUT,600.029178,124,mlp_relu.corners,1
rc21,TIMEOUT,600.032144,124,mlp_relu.corners,1
rc22,TIMEOUT,600.033280,124,mlp_relu.corners,1
ep1,UNSAT,5.474921,0,mlp_relu.embedded_projection,0
